ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
CNTA,260,15.10,0.133229,-1.1113,15.07,0.18652,-0.8908,late,mid,sev1,drug_developer,45.85,44.08800177777777777777777778,78.65603151183575468579639719,39.23,5,12.89911900065746219592373438,0.8792836309193745148053676389,0.057377,0.942623,v1.3.0,96f655ee,1,,7,7,buying,53,1,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,476.44,1.0,0,1.0,0,0,A,high_opt+catalyst_near,21,0.64,53,True,specific_days,-0.0577,7,,-0.15229,,,-0.023106,-0.129184,morningstar,,,9,0.133229,-1.539863,-1.290772,0,0,0,0,0,0,,,5,0,1.0,0,
NUVL,217,19.21,0.27116,-0.6093,19.21,0.321317,-0.464,late,mid,none,drug_developer,45.05,65.120,78.27168175454886794409882248,36.29,5.981727625003781534560475677,51.38461538461538461538461539,0.8918270588235294117647058824,0.068306,0.931694,v1.3.0,96f655ee,1,,5,5,buying,23,1,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,403.47,1.0,0,1.0,0,0,A,high_opt+catalyst_near,22,0.64,23,True,specific_days,-0.0688,5,,-0.085945,,,-0.023106,-0.062839,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.27116,-1.497703,-1.180546,0,0,0,0,0,0,,,5.981727625003781534560475677,0,1.0,0,
ACLX,242,16.88,0.177116,-0.9264,16.88,0.246082,-0.6869,late,mid,none,drug_developer,24.76,42.87975511111111111111111111,85,36.21,5.981727625003781534560475677,40.51087442472057856673241289,0.8786569275362318840579710145,0.07377,0.92623,v1.3.0,96f655ee,1,,7,7,buying,115,0,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,376.67,1.0,0,1.0,0,0,A,high_opt+catalyst_near,23,0.75,115,False,specific_days,-0.3340,7,,-0.255386,,,-0.023106,-0.23228,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.177116,-1.497703,-1.180546,0,0,0,0,0,0,,,5.981727625003781534560475677,0,1.0,0,
SION,310,7.62,0.007837,-2.4164,7.62,0.029781,-1.884,mid,small,sev2,drug_developer,72.36,42.77664711111111111111111111,85,72.73,6.533227639054036200290659263,5,0.7486846525299181188326684862,0.079235,0.920765,v1.3.0,96f655ee,1,,6,6,buying,115,0,specific_days,near,short,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,0.85,<=1000bps,1,882.99,1.0,0,1.0,0,0,A,high_opt+catalyst_near,24,0.64,115,False,specific_days,0.2942,6,,-0.022082,,,-0.023106,0.001024,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.007837,-1.474019,-1.118625,0,0,0,0,0,0,,,6.533227639054036200290659263,0,1.0,0,
FDMT,252,15.80,0.252351,-0.6671,15.75,0.208464,-0.8118,late,small,none,drug_developer,37.47,48.79253377777777777777777778,39.21583529093160438776380980,63.48,7.407104884642569353343839127,53.82105263157894736842105263,0.7995573864261357386426135739,0.095628,0.904372,v1.3.0,96f655ee,1,,1,1,neutral,84,0,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,S,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1085.48,1.0,0,1.0,0,0,A,high_opt+catalyst_near,25,0.16,84,False,specific_days,-0.1648,1,,-0.298289,,,-0.023106,-0.275183,morningstar,,,9,0.252351,-1.43649,-1.020508,0,0,0,0,0,0,,,7.407104884642569353343839127,0,1.0,0,
ATXS,204,20.38,0.318182,-0.4728,20.34,0.358934,-0.3613,late,small,none,drug_developer,52.30,47.60595600000000000000000000,55.81819426547832223354104574,52.99,8.233707086458255983762778153,49.05540166204986149584487534,0.8788067373947282073717598163,0.106557,0.893443,v1.3.0,96f655ee,1,,3,3,buying,84,0,specific_days,near,adequate,neutral,,L,tier_a_dev|sponsor_confirmed,0.85,<=1000bps,1,860.38,1.0,0,1.0,0,0,A,high_opt+catalyst_near,26,0.64,84,False,specific_days,0.0319,3,,-0.04697,,,-0.023106,-0.023864,morningstar,,,9,0.318182,-1.400992,-0.927699,0,0,0,0,0,0,,,8.233707086458255983762778153,0,1.0,0,
ADCT,280,13.48,0.161442,-0.9885,13.48,0.123824,-1.1561,late,small,none,drug_developer,30.83,41.55632400000000000000000000,77.75992376695575127628870456,72.65,8.650308435709787161483901654,35.78043705755617112957833179,0.8084248079034028540065861690,0.112022,0.887978,v1.3.0,96f655ee,1,,3,3,buying,22,1,specific_days,near,adequate,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1515.11,1.0,0,1.0,0,0,A,high_opt+catalyst_near,27,0.32,22,True,specific_days,-0.2522,3,,-0.262073,,,-0.023106,-0.238967,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.161442,-1.383101,-0.880924,0,0,0,0,0,0,,,8.650308435709787161483901654,0,1.0,0,
CGON,236,17.27,0.26489,-0.6283,17.27,0.261755,-0.6379,late,mid,none,drug_developer,75.34,49.28160000000000000000000000,85,42.73,9.490111630900225241949456697,54.52307692307692307692307692,0.8498720519131796822555381517,0.122951,0.877049,v1.3.0,96f655ee,1,,6,6,buying,115,0,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,420.61,1.0,0,1.0,0,0,A,high_opt+catalyst_near,28,0.64,115,False,specific_days,0.3354,6,,-0.04516,,,-0.023106,-0.022054,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.26489,-1.347035,-0.786633,0,0,0,0,0,0,,,9.490111630900225241949456697,0,1.0,0,
LQDA,290,12.31,0.098746,-1.2887,12.31,0.092476,-1.3257,late,mid,sev1,drug_developer,81.94,39.44804444444444444444444444,59.80016287605661848034407798,15.44,16.98376552835600878966142202,14.06195923734385272846811308,0.8612348506878425232076948887,0.215847,0.784153,v1.3.0,96f655ee,1,,3,3,buying,174,0,specific_days,mid,adequate,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,351.47,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,29,0.75,174,False,specific_days,0.4480,3,,-0.3909,,45.1,-0.023106,-0.367794,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.098746,-1.02522,0.054737,0,0,0,0,0,0,,,16.98376552835600878966142202,0,1.0,0,
ERAS,289,12.69,0.130094,-1.1259,12.69,0.098746,-1.2887,late,mid,none,drug_developer,96.55,36.16348844444444444444444444,56.07410521367309490499233515,47.42,10.33871548834049762244608906,41.99292570677186061801446416,0.7961339916956570530804623499,0.13388,0.86612,v1.3.0,96f655ee,1,,3,3,buying,23,1,specific_days,near,adequate,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,0.85,<=1000bps,1,450.73,1.0,0,1.0,0,0,A,high_opt+catalyst_near,30,0.64,23,True,specific_days,3.5946,3,,-0.037619,,,-0.023106,-0.014513,morningstar,,,9,0.130094,-1.310592,-0.691354,0,0,0,0,0,0,,,10.33871548834049762244608906,0,1.0,0,
ORKA,186,23.32,0.374608,-0.3197,23.32,0.418495,-0.2057,mid,small,none,drug_developer,81.57,43.39637511111111111111111111,85,46.44,10.87726251816620425419474172,42.71696765636159575553514948,0.8330605161998901702361339923,0.144809,0.855191,v1.3.0,96f655ee,1,,7,7,buying,115,0,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,732.36,1.0,0,1.0,0,0,A,high_opt+catalyst_near,31,0.64,115,False,specific_days,0.4408,7,,-0.028567,,,-0.023106,-0.005461,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.374608,-1.287464,-0.630887,0,0,0,0,0,0,,,10.87726251816620425419474172,0,1.0,0,
VRDN,296,11.26,0.051724,-1.6284,11.26,0.073668,-1.449,late,mid,sev2,drug_developer,44.67,45.51584044444444444444444444,68.29087843801747631577645681,50.74,11.62812251621934550574930764,11.75147928994082840236686389,0.8977273091030343447815938646,0.150273,0.849727,v1.3.0,96f655ee,1,,4,4,buying,23,1,specific_days,near,short,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,0.85,<=1000bps,1,434.32,1.0,0,1.0,0,0,A,high_opt+catalyst_near,32,0.38,23,True,specific_days,-0.0740,4,,-0.134103,,,-0.023106,-0.110997,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.051724,-1.255218,-0.546582,0,0,0,0,0,0,,,11.62812251621934550574930764,0,1.0,0,
