ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
AKRO,-0.050556,-0.050556,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.001052,0.001052,0.0,OK,69.1502,69.1502,0.0,OK,0.4253,0.4253,,0.0,OK,0.148858,0.148858,,0.0,OK
ALT,-0.431907,-0.431907,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.380299,-0.380299,0.0,OK,41.1829,41.1829,0.0,OK,0.7482,0.7482,,0.0,OK,-0.144191,-0.144191,,0.0,OK
ALVO,-0.662866,-0.662866,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.611258,-0.611258,0.0,OK,26.2276,26.2276,0.0,OK,0.7788,0.7788,,0.0,OK,-0.251588,-0.251588,,0.0,OK
AQST,-0.47263,-0.47263,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.421022,-0.421022,0.0,OK,48.6528,48.6528,0.0,OK,1.3802,1.3802,,0.0,OK,-0.410519,-0.410519,,0.0,OK
AVXL,-0.692767,-0.692767,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.641159,-0.641159,0.0,OK,45.1917,45.1917,0.0,OK,1.0446,1.0446,,0.0,OK,0.187303,0.187303,,0.0,OK
BMEA,-0.638356,-0.638356,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.586748,-0.586748,0.0,OK,53.1289,53.1289,0.0,OK,1.4598,1.4598,,0.0,OK,0.237288,0.237288,,0.0,OK
CADL,-0.5819,-0.5819,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.530292,-0.530292,0.0,OK,38.1496,38.1496,0.0,OK,1.5427,1.5427,,0.0,OK,0.008999,0.008999,,0.0,OK
CDTX,0.0,0.0,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.051608,0.051608,0.0,OK,84.2127,84.2127,0.0,OK,1.5473,1.5473,,0.0,OK,0.62893,0.62893,,0.0,OK
EOLS,-0.701094,-0.701094,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.649486,-0.649486,0.0,OK,36.5398,36.5398,0.0,OK,0.2832,0.2832,,0.0,OK,-0.382784,-0.382784,,0.0,OK
GRFS,-0.124767,-0.124767,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.073159,-0.073159,0.0,OK,52.4233,52.4233,0.0,OK,0.6125,0.6125,,0.0,OK,0.074191,0.074191,,0.0,OK
HRTX,-0.537255,-0.537255,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.485647,-0.485647,0.0,OK,38.9454,38.9454,0.0,OK,1.0608,1.0608,,0.0,OK,0.03552,0.03552,,0.0,OK
HUMA,-0.698667,-0.698667,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.647059,-0.647059,0.0,OK,54.0697,54.0697,0.0,OK,1.5954,1.5954,,0.0,OK,-0.190609,-0.190609,,0.0,OK
IOVA,-0.50346,-0.50346,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.451852,-0.451852,0.0,OK,61.5129,61.5129,0.0,OK,1.8006,1.8006,,0.0,OK,0.149384,0.149384,,0.0,OK
LENZ,-0.76371,-0.76371,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.712102,-0.712102,0.0,OK,24.9465,24.9465,0.0,OK,1.2627,1.2627,,0.0,OK,-0.700389,-0.700389,,0.0,OK
