ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
ALKS,2,58.36,0.995283,2.5959,58.42,0.995283,2.5959,late,mid,none,commercial_pharma,47.19,48.66157511111111111111111111,56.10552206830257002702349328,39.90,77.000,69.83050847457627118644067797,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,39,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,139,0.73,39,True,specific_days,-0.0390,6,,-0.059722,,,0.0,-0.059722,morningstar,,,9,0.995283,0.992014,0.992014,0,0,0,0,0,0,,,77.000,0,1.0,0,
MIRM,27,48.53,0.834906,0.9737,48.63,0.913522,1.3628,late,mid,none,commercial_biotech,64.60,41.23866711111111111111111111,64.87831374814065452363254151,38.63,72.50000000000000000000000000,35.46394714162596954898017811,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,161,0,specific_days,mid,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,359.13,1.0,0,1.0,0,0,,,140,0.73,161,False,specific_days,0.1921,3,,0.0,,,0.0,0.0,morningstar,SEC_8K_FILING,DATA_READOUT,2,0.834906,1.088716,1.088716,0,0,0,0,0,0,,,72.50000000000000000000000000,0,1.0,0,
LAB,138,31.22,0.699686,0.5235,31.25,0.561321,0.1543,late,small,none,platform_devices,49.60,56.750,43.06984790257884171610200686,92.62,68.43750000000000000000000000,39.63552581744729200858477465,0.8047292714882391734447131238,,,v1.3.0,96f655ee,1,,1,1,buying,7,1,specific_days,near,adequate,neutral,,S,cost_haircut_>2000bps,0.55,>2000bps,1,2020.0,1.0,0,1.0,0,0,,,141,0.12,7,True,specific_days,-0.0055,1,,-0.12766,,,0.0,-0.12766,morningstar,,,9,0.699686,1.164993,1.176577,0,0,0,0,0,0,,,68.43750000000000000000000000,0,1.0,0,
CAI,13,52.96,0.948113,1.6268,52.96,0.960692,1.7588,late,mid,none,commercial_biotech,23.42,56.486,52.98013445037227259872922018,26.19,70.78125000000000000000000000,55.59322033898305084745762712,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,2,1,specific_days,near,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,431.95,1.0,0,1.0,0,0,,,142,0.37,2,True,specific_days,-0.3541,3,,-0.351654,,,0.0,-0.351654,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.948113,1.010542,1.010542,0,0,0,0,0,0,,,70.78125000000000000000000000,0,1.0,0,
INDV,20,51.22,0.922956,1.4252,51.28,0.938679,1.5438,late,mid,none,commercial_pharma,56.45,43.55746844444444444444444444,36.08061940269551963586907036,45.65,77.000,53.55932203389830508474576271,0.8790698219101749693525019503,,,v1.3.0,96f655ee,1,,1,1,neutral,6,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,1.0,<=400bps,0,351.76,1.0,0,1.0,0,0,,,143,0.73,6,True,specific_days,0.0896,1,,-0.098907,,,0.0,-0.098907,morningstar,,,9,0.922956,0.992014,0.992014,0,0,0,0,0,0,,,77.000,0,1.0,0,
HALO,69,42.00,0.70283,0.5326,42.09,0.775157,0.7559,late,mid,none,commercial_biotech,42.10,42.28501377777777777777777778,,41.58,73.43750000000000000000000000,28.29870088416483130645727600,0.8827217376605814739688979040,,,v1.3.0,96f655ee,1,,0,0,neutral,16,1,specific_days,near,adequate,headwind,overbought_rsi,S,momentum_headwind,1.0,<=400bps,0,252.51,1.0,0,1.0,0,0,,,144,0.22,16,True,specific_days,-0.1097,0,,-0.2096,,83.0,0.0,-0.2096,morningstar,,,9,0.70283,1.131356,1.131356,0,0,0,0,0,0,,,73.43750000000000000000000000,0,1.0,0,
ESPR,38,46.80,0.910377,1.3431,46.80,0.878931,1.1697,late,small,none,commercial_pharma,55.39,55.142,41.01984790257884171610200686,61.86,77.000,66.98876404494382022471910112,0.8091103563812245795317137518,,,v1.3.0,96f655ee,1,,1,1,buying,38,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi,L,momentum_tailwind,0.85,<=1000bps,1,691.24,1.0,0,1.0,0,0,,,145,0.62,38,True,specific_days,0.0749,1,,-0.269608,,,0.0,-0.269608,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.910377,0.992014,0.992014,0,0,0,0,0,0,,,77.000,0,1.0,0,
AXSM,47,45.65,0.784591,0.7878,45.65,0.847484,1.0257,late,mid,none,commercial_biotech,70.56,46.72185600000000000000000000,73.47584543758658577553669995,27.80,71.87500000000000000000000000,34.08934214306233840850330364,0.9,,,v1.3.0,96f655ee,1,,7,7,buying,10,1,specific_days,near,adequate,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,294.54,1.0,0,1.0,0,0,,,146,0.73,10,True,specific_days,0.2705,7,,-0.3753,,68.4,0.0,-0.3753,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.784591,1.060289,1.060289,0,0,0,0,0,0,,,71.87500000000000000000000000,0,1.0,0,
BMRN,6,55.35,0.97956,2.0447,55.37,0.982704,2.1131,late,large,none,commercial_biotech,34.21,58.802,54.16931309699891070571108571,78.21,68.12500000000000000000000000,71.11111111111111111111111111,0.9,,,v1.3.0,96f655ee,1,,3,3,neutral,39,1,specific_days,near,adequate,headwind,overbought_rsi,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,258.43,1.0,0,1.0,0,0,,,147,0.44,39,True,specific_days,-0.2077,3,0.7339,-0.174,,72.1854,0.0,-0.174,morningstar,,,9,0.97956,0.889727,0.889727,0,0,0,0,0,0,,,68.12500000000000000000000000,0,1.0,0,
AMGN,10,53.72,0.97327,1.9312,53.72,0.970126,1.8826,late,large,none,commercial_pharma,44.55,56.750,42.21534191065608655117549276,48.39,74.37500000000000000000000000,77.000,0.9,,,v1.3.0,96f655ee,1,,1,1,neutral,5,1,specific_days,near,adequate,headwind,,S,momentum_headwind,1.0,<=400bps,0,106.06,1.0,0,1.0,0,0,,,148,0.22,5,True,specific_days,-0.0758,1,,-0.2206,,54.3,0.0,-0.2206,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.97327,0.882613,0.882613,0,0,0,0,0,0,,,74.37500000000000000000000000,0,1.0,0,
JAZZ,11,53.65,0.976415,1.9848,53.69,0.966981,1.8382,late,large,none,commercial_biotech,51.16,53.300,81.09955861639050421775230255,65.52,67.50000000000000000000000000,68.88888888888888888888888889,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,10,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,226.8,1.0,0,1.0,0,0,,,149,0.73,10,True,specific_days,0.0161,6,0.4019,-0.0603,,51.0668,0.0,-0.0603,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.976415,0.8613,0.8613,0,0,0,0,0,0,,,67.50000000000000000000000000,0,1.0,0,
REGN,23,49.69,0.860063,1.0806,49.71,0.926101,1.4474,late,large,none,commercial_biotech,50.52,54.764,49.06323726126180427724712688,60.02,68.90625000000000000000000000,60.00000000000000000000000000,0.9,,,v1.3.0,96f655ee,1,,4,4,buying,6,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,123.01,1.0,0,1.0,0,0,,,150,0.73,6,True,specific_days,0.0072,4,,-0.077487,,,0.0,-0.077487,morningstar,,,9,0.860063,0.925261,0.925261,0,0,0,0,0,0,,,68.90625000000000000000000000,0,1.0,0,
SUPN,16,52.18,0.926101,1.4474,52.18,0.948113,1.6268,late,mid,none,commercial_pharma,39.27,39.67204444444444444444444444,31.18023255065077493657494660,33.01,74.06250000000000000000000000,64.74576271186440677966101695,0.9,,,v1.3.0,96f655ee,1,,2,2,neutral,131,0,specific_days,mid,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,516.09,1.0,0,1.0,0,0,,,151,0.37,131,False,specific_days,-0.1490,2,,-0.131228,,,0.0,-0.131228,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.926101,0.869589,0.869589,0,0,0,0,0,0,,,74.06250000000000000000000000,0,1.0,0,
