ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
BRKR,Bruker Corporation,,,,,,,0.719436,,-2.4721,,,,,no_upcoming,9,headwind,deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,platform_devices,230,0.06969944897959185
CSTL,"Castle Biosciences, Inc.",,,,,,,0.722571,,-2.4721,,,,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,platform_diagnostics,231,0.06969944897959185
CTKB,"Cytek Biosciences, Inc.",,,,,,,0.725705,,-2.4721,,,,,no_upcoming,9,headwind,deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,platform_devices,232,0.06969944897959185
ETON,"Eton Pharmaceuticals, Inc.",,D,ineligible,,,D,0.72884,,-2.4721,-1.4859,-0.9213,0.259434,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,commercial_pharma,233,0.06969944897959185
FLGT,"Fulgent Genetics, Inc.",,,,,,,0.731975,,-2.4721,,,,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,platform_diagnostics,234,0.06969944897959185
FTRE,Fortrea Holdings Inc.,,D,ineligible,,,D,0.73511,,-2.4721,-1.4585,-1.0951,0.325472,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,commercial_biotech,235,0.06969944897959185
ILMN,"Illumina, Inc.",,,,,,,0.738245,,-2.4712,,,,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,platform_diagnostics,236,0.06969944897959185
LFCR,"Lifecore Biomedical, Inc.",,D,ineligible,,,D,0.741379,,-2.4721,-1.4859,-0.9213,0.023585,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,commercial_pharma,237,0.06969944897959185
LGND,Ligand Pharmaceuticals Incorporated,,D,ineligible,,,D,0.744514,,-2.4721,-1.4585,-1.0951,0.287736,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,commercial_biotech,238,0.06969944897959185
MRVI,"Maravai LifeSciences Holdings, Inc.",,D,ineligible,,,D,0.750784,,-2.4721,-1.4585,-1.0951,0.353774,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,aa0aaf28,early|none|nonpos,0.06969944897959185,,commercial_biotech,240,0.06969944897959185
