Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
261,MNMD,34.38,35.0,30,40,151.2,STRONG_POSITIVE,preclinical,142142000,30.032114937671665
262,NRIX,34.38,35.0,30,40,92.0,STRONG_POSITIVE,early,278238000,81.9693123511649
263,ORIC,34.38,35.0,30,40,17.5,POSITIVE,early,281994000,37.96961468548731
264,SLDB,34.38,35.0,30,40,29.6,STRONG_POSITIVE,early,155234000,27.833430454076833
265,TSHA,34.38,25.0,40,40,92.2,STRONG_POSITIVE,late,87880000,6.352235353644873
266,TYRA,34.38,35.0,30,40,17.5,POSITIVE,early,251213000,54.488133755083595
267,VYGR,34.38,35.0,30,40,11.8,POSITIVE,early,137322000,23.145132519628635
268,ABSI,36.25,30.0,40,40,44.7,STRONG_POSITIVE,unknown,59955000,6.858270418668496
269,ABUS,36.25,30.0,40,40,28.8,STRONG_POSITIVE,mid,30776000,5.31720801658604
270,ATXS,36.25,30.0,40,40,46.9,STRONG_POSITIVE,mid,35456000,8.208357448778795
271,EWTX,36.25,30.0,40,40,74.5,STRONG_POSITIVE,mid,21993000,3.901774098166765
272,KYMR,36.25,30.0,40,40,26.1,STRONG_POSITIVE,mid,47976000,5.744654100601694
273,LRMR,36.25,30.0,40,40,65.7,STRONG_POSITIVE,mid,26825000,9.104794229953331
274,ORKA,36.25,30.0,40,40,100.6,STRONG_POSITIVE,unknown,42445000,51.313721539391494
275,PAHC,36.25,30.0,40,40,16.0,POSITIVE,unknown,41281000,0
276,SYRE,36.25,30.0,40,40,72.0,STRONG_POSITIVE,unknown,86915000,15.850518989073114
277,WVE,36.25,30.0,40,40,19.1,POSITIVE,mid,88497000,6.562503476020096
278,BDTX,37.19,32.5,40,40,85.8,STRONG_POSITIVE,early,34315000,4.516666849477344
279,ELVN,37.19,32.5,40,40,77.1,STRONG_POSITIVE,early,75536000,24.067548191811376
280,GLUE,37.19,32.5,40,40,31.3,STRONG_POSITIVE,early,54912000,6.073160616031188
281,JANX,37.19,32.5,40,40,443.3,STRONG_POSITIVE,early,51426000,9.786263657844241
282,CATX,38.12,35.0,40,40,226.7,STRONG_POSITIVE,early,55890000,92.22772277227723
283,FHTX,38.12,35.0,40,40,43.0,STRONG_POSITIVE,early,52214000,5.7545599823662315
284,PGEN,38.12,35.0,40,40,8.4,POSITIVE,early,4858000,0.6325109042380053
