ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
TNYA,295,12.07,-1.3431,-0.1074,1.274766,-0.570649,1,0.3759,0.420548,1.302313,1.277288,1.318997,-0.736703,-0.685143,-0.942941,FULL,FULL,FULL,0.90,0.892400,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,sev2,early,micro,True,14.51,60,-0.5235,50.00,50.00,0,67.14,4,Casdin Capital; Ghost Tree Capital,50.00,MEDIUM,LOW,66.07,mcap_per_trial,0.8000,50,unknown,,50,,40.0,uncrowded,54.0,focused,0.83500,0.95,0.95,0.45,0.40
RNA,296,11.96,-1.5183,-0.1215,0.041720,-0.002406,2,0.041292,0.021868,0.442453,0.041884,0.709498,-0.359591,-0.314156,-0.541333,FULL,FULL,FULL,0.90,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,sev2,late,large,True,46.72,60,-0.0456,50.00,50.00,0,80.00,9,Baker Bros Advisors; Casdin Capital; Cormorant Asset Management; EcoR1 Capital; Orbimed Advisors; Palo Alto Investors; RA Capital Management; RTW Investments; Sofinnova Investments,68.00,LOW,LOW,10.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,diversified,0.83000,0.95,0.95,0.45,0.80
BLTE,297,11.49,-1.5438,-0.1235,0.653473,0.000000,2,0.031989,-0.146922,0.644336,0.644336,,-0.700000,,,PARTIAL,NONE,NONE,0.35,1.00,neutral,def_skip_not_elite_vol,alpha,False,,sev2,late,mid,True,83.40,60,0.4775,50.00,50.00,0,50.00,0,,38.00,LOW,LOW,10.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,76.0,diversified,0.74500,0.65,0.95,0.45,0.78
PRLD,298,11.33,-1.4252,-0.114,2.882401,-0.467337,3,0.092871,0.710958,2.822504,2.822504,,-0.700000,,,PARTIAL,NONE,NONE,0.35,0.892400,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,sev2,mid,micro,True,74.36,60,0.3212,50.00,50.00,0,61.00,1,Baker Bros Advisors,44.00,MEDIUM,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.53
VOR,299,11.16,-1.4938,-0.1195,1.881447,-0.409600,2,0.2000,0.664891,1.942979,1.840987,2.010974,-0.907039,-0.899333,-0.937860,FULL,FULL,FULL,0.90,0.892400,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,sev1,late,small,True,11.85,60,-0.5883,50.00,50.00,0,61.00,1,RA Capital Management,47.00,LOW,LOW,58.12,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,diversified,0.83500,0.95,0.95,0.45,0.70
AKRO,300,10.51,-1.5703,-0.1256,,,2,,,,,,,,,missing,missing,missing,0.35,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,suppressed,True,cash_runway_lt_6m; survivability_critical,sev2,late,unknown,True,50,,,63.70,49.65,16.87,80.00,7,Baker Bros Advisors; Orbimed Advisors; Perceptive Advisors; RTW Investments; Redmile Group; Rock Springs Capital Management; Sofinnova Investments,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.455,0.1,0.95,0.45,0.75
STVN,301,10.08,-1.6572,-0.1326,0.445774,-0.358446,1,0.3127,-0.005191,0.471827,0.438442,0.494083,-0.441952,-0.421109,-0.525323,FULL,FULL,FULL,0.90,1.0,neutral,def_mult_good_1.10; def_mult_momentum_penalty_0.95; def_warn_drawdown_gt_30pct; def_boost_gated_below_51_in_1,suppressed,True,single_asset_early_stage,sev1,early,mid,True,13.68,60,-0.5429,50.00,50.00,0,50.00,0,,60.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,50,unknown,35,single_asset,0.68500,0.95,0.65,0.45,0.30
OABI,302,9.98,-1.6268,-0.1301,0.555875,-0.092593,1,0.5379,1.322327,0.620728,0.560375,0.660964,-0.702774,-0.677835,-0.802528,FULL,FULL,FULL,0.90,1.00,neutral,,suppressed,True,single_asset_early_stage,sev2,early,micro,True,44.16,60,-0.0811,50.00,50.00,0,50.00,0,,55.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,50.0,moderate,35.0,single_asset,0.74000,0.95,0.85,0.45,0.35
URGN,303,9.57,-1.6891,-0.1351,0.763485,-0.260537,2,0.3270,1.244857,0.977558,0.749114,1.129854,-0.700146,-0.676010,-0.796689,FULL,FULL,FULL,0.90,1.00,neutral,def_skip_vol_too_high,alpha,False,,sev2,late,small,True,38.16,60,-0.1558,63.70,49.65,16.87,72.00,2,Palo Alto Investors; RTW Investments,68.00,MEDIUM,HIGH,75.38,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.75
LENZ,304,9.43,-1.5979,-0.1278,1.097623,-0.400125,2,0.2579,0.261541,0.915051,1.070867,0.811174,-0.696840,-0.696840,-0.696840,FULL,FULL,FULL,0.90,0.93702000,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_mult_drawdown_penalty_0.92,suppressed,True,survivability_critical,sev2,late,small,True,16.08,60,-0.4887,50.00,50.00,0,80.00,6,Ally Bridge Group; RA Capital Management; RTW Investments; Rock Springs Capital Management; Samsara BioCapital; Tang Capital Partners,66.00,HIGH,HIGH,72.84,mcap_per_trial,0.8000,50,unknown,,50,,25.0,uncrowded,76.0,diversified,0.83500,0.95,0.95,0.45,0.78
