ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RCUS,"Arcus Biosciences, Inc.",63,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.364023,,,0.234496,1,0.234496,,0,no_upcoming,,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,4,6,selling,0.3122,,6.5497,5.803,2.36,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.478638,price_history,,4,1.2612,price_history,,-0.230416,,72.4073,-0.292675,0.062259,late,mid,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,129,0.1,0.364023,,,,
PHAT,"Phathom Pharmaceuticals, Inc.",64,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.335694,,,0.215116,1,0.215116,,0,no_upcoming,,tailwind,deep_drawdown,M,momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,1,3,buying,-0.7982,,1.4963,0.5692,0.37,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.166304,price_history,,1,0.9802,price_history,,-0.502493,,50.5343,-0.292675,-0.209818,late,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,119,0.1,0.335694,,,,
MRSN,"Mersana Therapeutics, Inc.",65,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.298867,,,0.195736,1,0.195736,,0,no_upcoming,,headwind,,M,sponsor_confirmed|momentum_headwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,5,9,buying,0.6823,,10.178,8.6884,4.69,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.149311,price_history,,5,1.1213,price_history,,-0.1675,,47.612,-0.292675,0.125175,late,micro,SEV1,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,106,0.1,0.298867,,,,
PBYI,Puma Biotechnology Inc,66,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.330028,,,0.21124,1,0.21124,,0,no_upcoming,,tailwind,,L,momentum_tailwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,,0,neutral,0.0,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.817461,price_history,,,0.4459,price_history,,-0.044397,,68.6764,-0.292675,0.248278,late,small,NONE,drug_developer,pit_bundle,,,sponsor,1,0.5,,,,,0.7905,,117,0.1,0.330028,,,,
MIRM,"Mirum Pharmaceuticals, Inc.",67,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.290368,,,0.187984,1,0.187984,,0,no_upcoming,,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,5,7,buying,0.6823,,5.3093,4.3822,1.3,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.279343,price_history,,5,0.7034,price_history,,-0.366508,,39.1402,-0.292675,-0.073833,late,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,103,0.1,0.290368,,,,
JAZZ,Jazz Pharmaceuticals plc,68,,C,low_opt,C,low_opt,,0.259207,,,0.156977,1,0.156977,91,1,specific_days,,neutral,,L,sponsor_confirmed,,,v1.3.0,34839213,1,,late|near_91_180|pos,0.1,,0.914706,0,1,1.119466,0.79653,5,9,buying,0.6823,,9.2226,7.8179,7.11,46,fresh,0,0,0,0,True,False,True,near,1.0,adequate,,,1.0,0,0,1.0,0,1.0,0,91,,specific_days,0.025919,price_history,,5,0.4962,price_history,,-0.069667,,66.7235,-0.292675,0.223008,late,large,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.7905,,92,0.1,0.259207,,,,
MNKD,MannKind Corporation,69,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.293201,,,0.19186,1,0.19186,,0,no_upcoming,,tailwind,overbought_rsi,L,momentum_tailwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,0,3,buying,-1.1683,,1.3938,0.0,0.0,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.276283,price_history,,0,1.1052,price_history,,-0.018868,,71.771,-0.292675,0.273807,late,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,104,0.1,0.293201,,,,
MCRB,"Seres Therapeutics, Inc.",70,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.284703,,,0.180233,1,0.180233,,0,no_upcoming,,tailwind,deep_drawdown,M,momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,,0,neutral,0.0,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.168041,price_history,,,1.2723,price_history,,-0.431321,,43.3044,-0.292675,-0.138646,late,micro,SEV2,drug_developer,pit_bundle,,,sponsor,1,0.5,,,,,0.7905,,101,0.1,0.284703,,,,
LYRA,Healthcare,71,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.28187,,,0.176357,1,0.176357,,0,no_upcoming,,headwind,deep_drawdown,S,sponsor_confirmed|momentum_headwind|runway_short,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,2,4,buying,-0.428,,5.4511,4.524,2.68,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.429955,price_history,,2,0.1243,price_history,,-0.532623,,32.74,-0.292675,-0.239948,late,micro,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,100,0.1,0.28187,,,,
IMTX,Healthcare,72,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.228045,,,0.145349,1,0.145349,,0,no_upcoming,,headwind,,M,sponsor_confirmed|momentum_headwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,6,9,buying,1.0524,,6.2873,5.0778,0.94,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.186654,price_history,,6,0.4521,price_history,,-0.215774,,51.3289,-0.292675,0.076901,late,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,81,0.1,0.228045,,,,
LQDA,Liquidia Corporation,73,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.279037,,,0.172481,1,0.172481,,0,no_upcoming,,headwind,deep_drawdown,S,momentum_headwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,1,4,neutral,-0.7982,,2.5953,1.5749,1.02,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.122585,price_history,,1,0.5645,price_history,,-0.401669,,51.9627,-0.292675,-0.108994,late,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,99,0.1,0.279037,,,,
FOLD,"Amicus Therapeutics, Inc.",74,,C,low_opt+no_catalyst_data,C,low_opt+no_catalyst_data,,0.191218,,,0.118217,1,0.118217,,0,no_upcoming,,tailwind,,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,34839213,1,,late|none|pos,0.1,,0.914706,0,1,1.119466,0.79653,7,11,buying,1.4226,,17.7236,16.0246,9.22,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.055641,price_history,,7,0.9162,price_history,,-0.05098,,65.2582,-0.292675,0.241695,late,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.7905,,68,0.1,0.191218,,,,
