as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,mom_state,optionality,catalyst_days_raw,ruleset_id,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason
2025-01-31,XENE,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,neutral,0.48324,,d3cdf5c8,-6.397,-4.8799,-10.8593,-29.6887,
2025-01-31,VKTX,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.041899,,d3cdf5c8,-8.4074,-20.717,-24.5671,-41.356,
2025-01-31,BNTX,C,L,1,0.0,low_opt,,specific_days,tailwind,0.243017,41,d3cdf5c8,-5.7586,-14.8556,-11.3862,-29.4266,
2025-01-31,TARA,C,M,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.310056,,d3cdf5c8,-24.2915,-12.5506,-33.6595,-34.2466,
2025-01-31,CLDX,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,neutral,0.550279,124,d3cdf5c8,-13.0233,-17.2517,-19.3414,-36.9321,
2025-01-31,GHRS,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.371508,,d3cdf5c8,-43.6909,-47.0261,-48.8049,-51.8621,
2025-01-31,CABA,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,headwind,0.164804,,d3cdf5c8,-23.5169,-46.1864,-38.3764,-61.6236,
2025-01-31,CYTK,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,neutral,0.449721,28,d3cdf5c8,-5.0861,-16.579,-17.556,-32.3748,
2025-01-31,BCYC,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.002793,,d3cdf5c8,-13.3491,-33.4913,-18.7742,-50.5043,
2025-01-31,TCRX,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.192737,,d3cdf5c8,-13.5803,-34.1564,-24.6939,-55.102,
2025-01-31,ALDX,C,L,1,0.0,low_opt,drawdown_data_missing,specific_days,neutral,0.226257,27,d3cdf5c8,-1.1606,-48.5493,-24.6313,-79.6562,
2025-01-31,LYEL,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.539106,,d3cdf5c8,21.6082,-22.977,-13.3871,-44.4145,
2025-01-31,MLYS,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.572626,27,d3cdf5c8,-7.9557,34.3404,-17.5917,-30.2312,
2025-01-31,DRUG,C,L,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.494413,,d3cdf5c8,-0.0268,-12.1879,-27.2629,-39.1013,
2025-01-31,FHTX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.555866,,d3cdf5c8,21.8593,9.5477,-29.8701,-48.8636,
2025-01-31,SGMO,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.086592,,d3cdf5c8,-12.8205,-32.7351,-27.5591,-55.1181,
2025-01-31,ABCL,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.617318,,d3cdf5c8,-16.0715,-16.5584,-31.9885,-44.3804,
2025-01-31,CRNX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.578212,,d3cdf5c8,-7.7597,-16.4991,-20.0495,-36.7327,
2025-01-31,TENX,B,M,1,0.0,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.667598,,d3cdf5c8,0.0,0.0,-26.6753,-34.2784,
2025-01-31,ANNX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.326816,,d3cdf5c8,-25.0,-46.5909,-35.4054,-62.7027,
2025-01-31,VIR,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.527933,166,d3cdf5c8,-15.9319,-38.6773,-22.5806,-49.2669,
2025-01-31,CRSP,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.773743,157,d3cdf5c8,9.8,-4.325,-20.2376,-41.0223,
2025-01-31,LXEO,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.203911,,d3cdf5c8,-48.4685,-33.6937,-59.7246,-69.1911,
2025-01-31,RCKT,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.410615,1,d3cdf5c8,-10.5114,-31.5341,-21.7972,-57.3843,
2025-01-31,SGMT,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,specific_days,headwind,0.594972,62,d3cdf5c8,-20.279,-32.4034,-32.7485,-62.963,
2025-01-31,AVXL,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,specific_days,tailwind,0.365922,150,d3cdf5c8,-8.4491,9.0278,-12.1924,-23.4643,
2025-01-31,ABEO,B,L,1,5.95,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.768156,,d3cdf5c8,-4.5,-3.125,-15.4485,-30.5648,
2025-01-31,FATE,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.511173,,d3cdf5c8,-11.811,0.7874,-39.7661,-60.2339,
2025-01-31,IMTX,C,M,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.5,,d3cdf5c8,-16.888,-14.2315,-28.0551,-39.759,
2025-01-31,SANA,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.215084,,d3cdf5c8,-14.7059,-42.1568,-26.8072,-59.6386,
2025-01-31,MCRB,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.405028,,d3cdf5c8,-8.5951,-39.3287,-13.6905,-55.9524,
2025-01-31,KURA,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.354749,,d3cdf5c8,-6.5455,-22.0606,-19.8895,-37.9006,
2025-01-31,DNTH,B,L,1,5.95,high_opt+catalyst_far,drawdown_data_missing,specific_days,neutral,0.863128,178,d3cdf5c8,-2.1296,-1.8124,-20.6632,-39.911,
2025-01-31,PYXS,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.377095,,d3cdf5c8,-20.6667,-29.3334,-26.4901,-41.9205,
2025-01-31,CADL,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.477654,,d3cdf5c8,25.5245,-30.3496,-35.217,-64.0049,
2025-01-31,FDMT,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.689944,,d3cdf5c8,-23.6088,-43.6763,-36.5031,-61.5031,
2025-01-31,TNGX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.360335,,d3cdf5c8,-28.866,-49.8282,-43.2836,-63.8806,
2025-01-31,CDTX,C,L,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.332402,,d3cdf5c8,31.3984,13.6675,-14.5833,-34.0161,
2025-01-31,ABUS,A,M,1,3.57,high_opt+catalyst_near,,specific_days,headwind,0.583799,41,d3cdf5c8,5.1829,0.3049,-8.3565,-19.7772,
2025-01-31,CRBU,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.444134,,d3cdf5c8,-14.5985,-43.5036,-26.7123,-49.7945,
2025-01-31,PVLA,B,L,1,0.0,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.639665,,d3cdf5c8,49.3446,95.7595,-10.4335,-31.4828,
2025-01-31,RVMD,B,M,1,3.57,high_opt+catalyst_far,,specific_days,headwind,0.72905,530,d3cdf5c8,-3.3223,-7.9972,-13.3559,-29.6497,
2025-01-31,MESO,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,tailwind,0.343575,,d3cdf5c8,-14.5065,-41.0768,-24.4608,-50.8333,
2025-01-31,PRTA,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,specific_days,neutral,0.751397,61,d3cdf5c8,17.6339,-27.8274,-9.3612,-41.809,
2025-01-31,ABSI,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,tailwind,0.622905,,d3cdf5c8,4.0541,-15.4054,-41.2371,-61.5979,
2025-01-31,CLLS,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.460894,,d3cdf5c8,-17.3079,-1.9232,-20.8589,-29.4479,
2025-01-31,IMVT,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.76257,29,d3cdf5c8,-0.9615,-29.2308,-18.0809,-40.8707,
2025-01-31,KALV,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.645251,,d3cdf5c8,23.59,40.8894,-7.1717,-18.0952,
2025-01-31,RAPT,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,headwind,0.522346,,d3cdf5c8,0.0,-22.9298,-16.6667,-49.8718,
2025-01-31,BCAX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.756983,,d3cdf5c8,8.1301,18.2114,-10.7815,-43.3837,
2025-01-31,KYTX,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.472067,,d3cdf5c8,-8.387,-32.258,-20.7951,-44.0367,
2025-01-31,ZVRA,B,M,1,0.0,high_opt+no_catalyst_data,deep_drawdown,missing,neutral,0.662011,,d3cdf5c8,4.7061,-5.8822,-10.5006,-21.4371,
2025-01-31,NGNE,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.874302,,d3cdf5c8,5.0475,-8.4917,-30.4292,-68.4979,
2025-01-31,CTMX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.678771,,d3cdf5c8,-19.3905,-15.4861,-30.7036,-53.9446,
2025-01-31,TSHA,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.980447,,d3cdf5c8,4.5752,15.0328,-14.9733,-41.4508,
2025-01-31,PGEN,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.27095,,d3cdf5c8,33.077,15.3847,-17.734,-42.3645,
2025-01-31,APGE,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.935754,,d3cdf5c8,-22.1204,-8.7193,-26.6811,-30.8597,
2025-01-31,VERA,B,M,1,3.57,high_opt+catalyst_far,,specific_days,headwind,0.986034,104,d3cdf5c8,-18.0898,-36.4532,-28.8901,-50.5117,
2025-01-31,HUMA,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.432961,,d3cdf5c8,-20.9302,-66.5116,-30.4348,-73.6842,
2025-01-31,SLDB,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.075419,,d3cdf5c8,77.4607,4.7621,-20.8655,-61.051,
