ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
NVAX,21,51.24,0.988959,2.289,51.29,0.935331,1.5167,late,small,none,commercial_biotech,36.82,51.974,34.49836327674824021191015203,88.05,77.000,74.54545454545454545454545455,0.8931309185867895545314900154,,,v1.3.0,96f655ee,1,,1,1,selling,23,1,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi|overbought_rsi,S,momentum_headwind,0.85,<=1000bps,1,504.92,1.0,0,1.0,0,0,,,142,0.19,23,True,specific_days,-0.1735,1,,-0.3487,,73.6,-0.020817,-0.327883,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
VYGR,22,50.25,0.938486,1.5422,50.40,0.929022,1.4685,early,micro,none,drug_developer,28.81,36.60128400000000000000000000,47.375,72.44,77.000,50.35714285714285714285714285,0.7985927732686834615790028460,0.953039,0.046961,v1.3.0,96f655ee,1,,1,1,selling,,0,no_upcoming,missing,adequate,headwind,deep_drawdown_rel_xbi,XS,momentum_headwind|cost_haircut_>2000bps,0.55,>2000bps,1,2020.0,1.0,0,1.0,0,0,C,low_opt+no_catalyst_data,77,0.06,,False,no_upcoming,-0.2788,1,,-0.335689,,,-0.020817,-0.314872,morningstar,,,9
EWTX,23,50.08,0.957413,1.7214,50.13,0.925868,1.4457,mid,mid,none,drug_developer,84.76,52.028,85,54.37,76.12903225806451612903225806,52.90322580645161290322580645,0.8146157723759381651170606027,0.930939,0.069061,v1.3.0,96f655ee,1,,9,9,buying,14,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,490.69,1.0,0,1.0,0,0,C,low_opt,78,0.63,14,True,specific_days,0.5070,9,,-0.087912,,,-0.020817,-0.067095,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
REGN,24,49.92,0.862776,1.0929,49.92,0.922713,1.4236,late,large,none,commercial_biotech,50.07,54.800,49.86816233062021223318297494,61.21,68.88888888888888888888888889,59.23076923076923076923076923,0.9,,,v1.3.0,96f655ee,1,,4,4,buying,1,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,123.01,1.0,0,1.0,0,0,,,143,0.74,1,True,specific_days,0.0010,4,,-0.097542,,,-0.020817,-0.076725,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
AXSM,25,49.78,0.865931,1.1074,49.78,0.919558,1.4021,late,mid,none,commercial_biotech,67.77,45.90120711111111111111111111,73.74200738445459414573811738,31.28,71.74603174603174603174603174,34.75905007266481701677896683,0.9,,,v1.3.0,96f655ee,1,,7,7,buying,15,1,specific_days,near,adequate,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,294.54,1.0,0,1.0,0,0,,,144,0.74,15,True,specific_days,0.2339,7,,-0.3753,,68.4,-0.020817,-0.354483,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
VNDA,26,49.63,0.894322,1.2498,49.68,0.916404,1.3813,late,small,none,commercial_biotech,64.02,54.128,38.79694877327025129411540219,84.90,74.76190476190476190476190476,55.93181818181818181818181818,0.8573535877327491785323110624,,,v1.3.0,96f655ee,1,,1,1,neutral,18,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,882.2,1.0,0,1.0,0,0,,,145,0.63,18,True,specific_days,0.1845,1,,-0.153061,,,-0.020817,-0.132244,morningstar,,,9
GH,27,49.14,0.916404,1.3813,49.16,0.913249,1.361,late,large,none,platform_diagnostics,88.50,56.072,68.57694890072902262398163050,10.00,71.26984126984126984126984127,57.26923076923076923076923077,0.8935732305213488318563701231,,,v1.3.0,96f655ee,1,,3,3,buying,4,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,202.99,1.0,0,1.0,0,0,,,146,0.74,4,True,specific_days,0.5973,3,,-0.001691,,,-0.020817,0.019126,morningstar,,,9
MIRM,28,48.89,0.837539,0.9844,49.00,0.910095,1.3413,late,mid,none,commercial_biotech,65.68,39.73931377777777777777777778,65.22349097030265041094092057,39.74,73.01587301587301587301587302,36.16461884000528471396485665,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,166,0,specific_days,mid,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,359.13,1.0,0,1.0,0,0,,,147,0.74,166,False,specific_days,0.2063,3,,-0.013756,,,-0.020817,0.007061,morningstar,SEC_8K_FILING,DATA_READOUT,2
HRMY,29,48.74,0.87224,1.137,48.76,0.90694,1.3221,late,mid,none,commercial_biotech,47.23,55.148,48.29474735610625178829463020,79.40,58.73015873015873015873015873,75.86206896551724137931034483,0.9,,,v1.3.0,96f655ee,1,,3,3,selling,13,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,0.85,<=1000bps,1,606.78,1.0,0,1.0,0,0,,,148,0.63,13,True,specific_days,-0.0385,3,,-0.1059,,,-0.020817,-0.085083,morningstar,,,9
SIGA,30,47.99,0.799685,0.8405,48.03,0.903785,1.3034,late,small,none,commercial_pharma,25.41,51.080,,77.60,59.68253968253968253968253968,56.81818181818181818181818182,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,15,1,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,XS,momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1958.83,1.0,0,1.0,0,0,,,149,0.08,15,True,specific_days,-0.3244,0,,-0.305907,,,-0.020817,-0.28509,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
