ticker,company_name,status,exchange,sector,etf_sources,known_delisted,exclusion_reason,model_classification,is_stale,has_any_price,last_price_date
CCCC,"C4 Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CDNA,"CareDx, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CDXS,"Codexis, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CELC,Celcuity Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CERS,Cerus Corporation,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CGEM,"Cullinan Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CGON,"CG Oncology, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CHRS,"Coherus Oncology, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
CLDX,"Celldex Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CLLS,Cellectis S.A.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CLYM,"Climb Bio, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CMPS,COMPASS Pathways plc,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CMPX,"Compass Therapeutics, Inc.",active,NASDAQ,Biotechnology,,False,,ACTIVE_VALID,False,True,2026-07-09
CNTA,Centessa Pharmaceuticals plc,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-06-29
CNTX,Context Therapeutics Inc.,active,NASDAQ,Biotechnology,,False,,ACTIVE_VALID,False,True,2026-07-09
COGT,"Cogent Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
COLL,"Collegium Pharmaceutical, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
CRBU,"Caribou Biosciences, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CRL,"Charles River Laboratories International, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CRMD,CorMedix Inc.,active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
CRNX,"Crinetics Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CRSP,CRISPR Therapeutics AG,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CRVS,"Corvus Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CSTL,"Castle Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CTKB,"Cytek Biosciences, Inc.",pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
CTMX,"CytomX Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CTNM,"Contineum Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CYTK,"Cytokinetics, Incorporated",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
DFTX,"Definium Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
DNA,"Ginkgo Bioworks Holdings, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
DNLI,Denali Therapeutics Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
