rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,days_to_catalyst,in_optimal_window,catalyst_score_effective,alpha_60d,momentum_score,momentum_window,valuation_method,mcap_per_asset,ev_multiple,peer_count,si_score,si_crowding_risk,si_squeeze_potential,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,top_tier_partners,has_fda_designations,designation_types,pipeline_diversity_score,pipeline_risk_profile,program_count,competitive_position,crowding_level,competitor_count,cash_runway_months,survivability_score,ms_composite,ms_fv_discount,ms_capital_efficiency,ms_leverage_health,ms_growth_quality,ms_momentum,ms_moat_quality,ms_regime,ms_confidence
1,QURE,59.89,58.09,0.2363,2.9542,mid,small,none,70.69,68.45,51.73,93.97,85,0.83500,0.95,0.45,11.7755,11.7755,9,9,True,strong,,,143,False,45.29,-0.3084,26.57,60,mcap_per_trial,153.89,,52,48.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,75.0,diversified,11,me_too,uncrowded,1482,60.3595127520581,4.0,63.82,83.11,50,63.61,50,45.57,50,development,1.0
2,ALKS,58.54,61.47,0.1833,2.2913,late,mid,none,77.00,70.77,39.56,95.00,74.97155007586197045635949258,0.83000,0.95,0.45,6.3757,6.3757,6,6,True,weak,,,22,True,45.05,-0.0719,44.83,60,ev_cfo,,13.50,77,70.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,111,me_too,highly_crowded,5055,,2.0,54.08,10.00,65.82,82.01,70.46,72.76,50.00,commercial,1.0
3,NVAX,57.37,56.22,0.2078,2.597,late,small,none,77.00,74.95,52.36,77.61,41.36802222123446424002421713,0.80000,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,1,True,69.25,-0.0280,47.99,60,ev_revenue,,0.92,108,76.00,HIGH,HIGH,,unknown,1,exceptional,1,True,FT,86.0,broad_portfolio,53,me_too,highly_crowded,1448,42.902598132943425,3.0,64.90,86.83,,25.00,62.88,61.14,,commercial,0.77
4,EBS,56.77,55.07,0.1933,2.4164,late,small,none,77.00,72.42,39.54,87.56,42.36802222123446424002421713,0.80000,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,144,False,37.88,-0.0828,44.04,60,ev_cfo,,11.20,77,71.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,64,me_too,uncrowded,7332,,-1.0,41.93,10.00,72.27,25.87,75.13,82.14,50.00,commercial,1.0
5,CTNM,56.56,56.56,0.1546,1.9326,mid,small,none,77.00,54.00,53.09,55.17,85,0.83500,0.95,0.45,7.0783,7.0783,7,7,False,,,stage_pivotal_not_active,8,True,47.24,0.3278,74.82,60,mcap_per_trial,69.91,,52,49.00,LOW,LOW,,unknown,0,unknown,0,False,,78.0,diversified,8,me_too,highly_crowded,1271,51.783392476934,5.0,64.76,70.13,50,83.30,50,84.42,50,development,1.0
6,CATX,56.49,56.49,0.1507,1.884,early,small,none,77.00,62.21,36.66,67.54,51.31012452779868932982365778,0.83500,0.95,0.45,2.478,2.478,2,2,True,moderate,,,82,False,38.08,-0.3393,24.39,60,mcap_per_trial,63.99,,28,65.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,64.0,focused,6,me_too,highly_crowded,4566,36.08371466560757,5.0,60.15,58.91,50,84.22,50,67.53,50,development,1.0
7,XNCR,56.11,56.11,0.1755,2.1943,mid,small,none,67.59,67.91,50.74,25.86,77.69432914092713950942253910,0.83000,0.95,0.45,4.8922,4.8922,4,4,True,weak,,,5,True,46.46,-0.0975,42.98,60,mcap_per_trial,28.20,,52,77.00,MEDIUM,HIGH,,unknown,1,strong,0,False,,82.0,broad_portfolio,33,me_too,highly_crowded,6036,66.51928407210846,4.0,59.62,81.22,36.31,73.58,30.63,47.76,,commercial,0.88
8,ESPR,55.94,55.94,0.1472,1.8396,late,small,none,77.00,67.24,55.77,66.42,42.36802222123446424002421713,0.87000,0.95,0.65,0.6424,0.6424,1,1,True,weak,,,21,True,71.82,0.0911,56.56,60,ev_revenue,,5.70,108,50.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,86.0,broad_portfolio,26,me_too,highly_crowded,1334,15.305970149253731,-3.0,58.74,64.83,,,39.79,73.01,,commercial,0.65
9,TARS,55.79,51.33,0.1439,1.7985,late,mid,none,72.84,56.88,39.54,66.42,85,0.80500,0.95,0.30,12.7737,12.7737,8,8,True,strong,,,144,False,36.73,-0.1911,35.48,60,ev_revenue,,8.27,108,86.00,LOW,MODERATE,,unknown,0,unknown,0,False,,76.0,diversified,10,me_too,uncrowded,441,125.24139005765934,0.0,55.16,57.61,32.88,68.25,64.64,60.46,,commercial,0.88
10,BEAM,55.68,55.68,0.1589,1.9861,early,mid,none,67.37,67.42,55.33,95.00,61.72200336253924540177940228,0.80000,0.95,0.30,5.8858,5.8858,4,4,True,weak,,,21,True,63.91,0.0620,54.46,60,mcap_per_trial,347.04,,28,80.00,MEDIUM,HIGH,,unknown,2,exceptional,2,True,"BTD, ODD",75.0,diversified,8,me_too,highly_crowded,5279,49.27043347732924,4.0,66.80,84.16,50,73.68,50,61.55,50,development,1.0
11,IRWD,55.44,48.49,0.1692,2.1144,late,small,none,77.00,70.53,39.54,74.88,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,114,False,36.86,2.1626,96.55,60,ev_cfo,,24.04,77,48.00,LOW,LOW,,unknown,0,unknown,0,False,,80.0,broad_portfolio,42,me_too,uncrowded,1490,,2.0,59.63,68.32,45.53,,52.99,80.81,,commercial,0.77
12,ENTA,55.19,55.19,0.1637,2.046,mid,small,none,77.00,61.73,49.13,77.59,42.36802222123446424002421713,0.80000,0.95,0.30,0.6424,0.6424,1,1,True,weak,,,144,False,38.61,0.0642,54.63,60,mcap_per_trial,13.03,,52,61.00,LOW,LOW,,unknown,0,unknown,0,False,,82.0,broad_portfolio,43,me_too,moderate,2615,82.02265571278636,4.0,44.14,53.06,31.95,46.63,28.16,74.30,,commercial,0.88
13,AGIO,55.18,49.24,0.128,1.5995,late,small,none,75.22,60.80,53.85,82.09,65.25222683436291441962309844,0.83500,0.95,0.45,4.3728,4.3728,3,3,True,moderate,,,20,True,71.30,-0.4229,19.37,60,mcap_per_trial,54.20,,201,57.00,LOW,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,56,me_too,highly_crowded,6067,41.31433278894654,5.0,61.71,68.84,50,83.34,50,32.32,50,development,1.0
14,TBPH,55.16,55.16,0.1352,1.6906,late,small,none,77.00,65.47,51.04,74.88,42.36802222123446424002421713,0.83000,0.95,0.45,0.6424,0.6424,1,1,True,weak,,,52,True,56.26,0.0998,57.18,60,ev_cfo,,2.94,77,75.00,LOW,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,75,me_too,highly_crowded,4718,,3.0,62.25,45.81,59.43,73.11,83.93,85.61,,commercial,0.88
15,QSI,55.14,55.14,0.1327,1.6587,late,micro,none,77.00,63.39,51.87,72.39,,0.83500,0.95,0.45,,,0,0,False,,,below_threshold,52,True,61.58,-0.4416,18.39,60,mcap_per_trial,7.69,,201,53.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,83,me_too,highly_crowded,8028,49.72121985453617,3.0,66.91,84.62,50,83.34,50,25.89,50,development,1.0
16,MBX,54.93,55.95,0.1257,1.5718,mid,small,none,66.55,52.46,49.48,68.97,85,0.83500,0.95,0.45,10.7334,10.7334,8,8,True,strong,,,73,False,43.25,0.7197,92.75,60,mcap_per_trial,251.26,,52,75.00,LOW,LOW,,unknown,0,unknown,0,False,,75.0,diversified,7,me_too,uncrowded,1160,76.2405268621853,5.0,63.13,64.87,50,84.94,50,82.82,50,development,1.0
17,SABS,54.46,54.46,0.1216,1.5199,mid,micro,none,71.73,63.45,35.88,77.59,53.94873693001494255238040059,0.83500,0.95,0.45,0.6424,0.6424,1,1,False,,,no_catalyst_data,,False,50.00,0.2244,67.05,60,mcap_per_trial,26.54,,52,44.00,LOW,LOW,,unknown,0,unknown,0,False,,80.0,diversified,8,me_too,highly_crowded,2241,47.52233511283919,5.0,61.89,65.38,50,79.76,50,73.01,50,development,1.0
18,EWTX,54.45,55.46,0.1196,1.4955,mid,mid,none,72.76,51.66,54.12,25.86,85,0.83500,0.95,0.45,12.5042,12.5042,9,9,True,strong,,,82,False,56.59,0.4750,83.28,60,mcap_per_trial,183.46,,52,77.00,LOW,MODERATE,,unknown,0,unknown,0,False,,72.0,diversified,17,me_too,uncrowded,777,64.2446590131529,5.0,66.98,75.88,50,84.51,50,84.16,50,development,1.0
19,ELVN,54.40,55.41,0.1142,1.4269,early,small,none,63.16,60.45,43.60,67.54,81.07853375405558968902142040,0.80500,0.95,0.30,5.8527,5.8527,6,6,True,moderate,,,144,False,36.57,0.1716,63.04,60,mcap_per_trial,408.16,,28,63.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,50.0,focused,4,me_too,highly_crowded,4568,105.22336264987239,5.0,59.04,53.99,50,84.98,50,76.90,50,development,1.0
20,VYGR,54.30,54.30,0.1124,1.4055,early,micro,none,77.00,50.87,37.47,88.60,49.5,0.83500,0.95,0.45,0.3854,0.3854,1,1,False,,,stage_early_not_active,,False,50.00,-0.2480,31.15,60,mcap_per_trial,36.51,,28,57.00,LOW,LOW,,unknown,0,unknown,0,False,,67.0,focused,6,me_too,highly_crowded,764,24.396784928867525,5.0,63.02,74.44,50,75.86,50,46.15,50,development,1.0
21,JANX,54.18,52.55,0.1108,1.3847,early,small,none,63.16,65.73,50.79,67.54,85,0.80500,0.85,0.45,7.03,7.03,7,7,True,strong,,,83,False,43.01,-0.5851,11.97,60,mcap_per_trial,272.07,,28,48.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,67.0,focused,3,me_too,highly_crowded,5823,221.0328348201814,5.0,69.73,92.96,50,83.46,50,23.50,50,development,1.0
22,OPK,54.05,75.67,0.1408,1.7602,late,small,none,73.43,65.09,39.54,72.39,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,175,False,38.15,-0.2618,30.10,60,ev_revenue,,2.11,108,57.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,15,me_too,uncrowded,1405,31.899517800220828,-2.0,52.90,65.12,38.70,65.53,33.28,43.31,,commercial,0.88
23,ACRS,53.85,54.85,0.1003,1.2535,late,small,none,77.00,50.06,48.61,82.09,63.25222683436291441962309844,0.83500,0.95,0.45,2.392,2.392,3,3,True,moderate,,,143,False,46.52,0.5373,86.09,60,mcap_per_trial,12.48,,201,49.00,LOW,LOW,,unknown,0,unknown,0,False,,86.0,broad_portfolio,36,me_too,uncrowded,5855,33.869224883761994,5.0,60.25,57.73,50,85.00,50,74.92,50,development,1.0
24,ACAD,53.69,53.69,0.1076,1.3448,late,mid,none,65.67,68.00,55.39,87.56,71.0,0.87000,0.95,0.65,8.6676,8.6676,7,7,True,strong,,,55,True,63.07,-0.1499,39.21,60,ev_cfo,,22.88,77,61.00,LOW,LOW,,unknown,1,strong,1,False,,83.0,broad_portfolio,50,me_too,highly_crowded,770,,3.0,65.83,49.77,67.93,81.33,82.68,62.61,,commercial,0.88
25,IMRX,53.40,51.80,0.1031,1.2887,early,small,none,72.63,58.69,43.60,67.54,54.31012452779868932982365778,0.71500,0.85,0.30,1.6342,1.6342,2,2,True,moderate,,,114,False,38.59,-0.2538,30.71,60,neutral,156.259328,,0,41.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,42.0,concentrated,2,me_too,highly_crowded,4570,88.02987911473743,5.0,47.23,25.92,50,81.93,50,48.21,50,development,1.0
26,RYTM,53.35,60.45,0.1061,1.3257,late,mid,none,75.82,43.49,52.44,74.88,85,0.83500,0.95,0.45,15.3237,15.3237,9,9,True,strong,,,21,True,75.34,-0.2550,30.62,60,mcap_per_trial,239.15,,201,65.00,LOW,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,32,me_too,uncrowded,1893,51.829757683526054,3.0,52.69,47.70,31.49,83.81,55.00,61.91,,commercial,0.88
27,BIIB,53.33,53.33,0.138,1.7244,late,large,none,71.34,75.55,47.97,95.00,70.12297367493130298492723022,0.83000,0.95,0.45,5.2017,5.2017,5,5,True,weak,,,6,True,68.15,-0.0737,44.69,60,ev_cfo,,17.07,77,75.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,673,me_too,highly_crowded,10508,,0.0,62.00,60.88,55.82,63.08,64.82,79.34,65.00,commercial,1.0
28,BMRN,53.29,54.84,0.1236,1.5454,late,large,none,68.06,71.11,53.77,95.00,49.70972636032974567234929496,0.83500,0.95,0.45,3.1242,3.1242,3,3,True,weak,,,22,True,53.27,-0.2119,33.90,60,ev_cfo,,14.09,77,64.00,LOW,LOW,,unknown,1,strong,0,False,,88.0,broad_portfolio,172,me_too,uncrowded,6558,,2.0,70.87,81.73,55.67,77.89,74.46,54.39,65.00,commercial,1.0
29,UPB,53.25,53.25,0.0901,1.1259,mid,small,none,64.48,50.91,32.41,60.34,77.69432914092713950942253910,0.87500,0.95,0.65,8.2148,8.2148,4,4,True,moderate,,,12,True,45.88,0.1938,64.73,60,mcap_per_trial,275.15,,52,63.00,LOW,MODERATE,,unknown,0,unknown,0,False,,75.0,diversified,6,me_too,moderate,582,43.540041307821205,5.0,63.55,67.21,50,84.85,50,75.16,50,development,1.0
30,ALT,53.00,53.98,0.1017,1.2709,late,small,none,75.52,61.88,47.87,68.16,35.86802222123446424002421713,0.83500,0.95,0.45,0.4287,0.4287,1,1,True,weak,,,83,False,45.83,0.3068,73.31,60,mcap_per_trial,35.26,,201,47.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,82.0,broad_portfolio,19,me_too,highly_crowded,2478,52.59757111961404,5.0,62.84,68.52,50,80.83,50,66.16,50,development,1.0
31,NKTX,52.75,52.75,0.0976,1.2197,early,micro,none,63.16,58.47,37.47,67.54,66.5,0.83000,0.95,0.45,2.9342,2.9342,3,3,False,,,stage_early_not_active,,False,50.00,0.0217,51.56,60,mcap_per_trial,39.07,,28,86.00,LOW,MODERATE,,unknown,0,unknown,0,False,,66.0,focused,4,me_too,highly_crowded,5824,50.52753087156237,5.0,62.03,72.76,50,71.84,50,52.75,50,development,1.0
32,CHRS,52.60,53.57,0.1177,1.4718,late,micro,none,65.07,68.51,45.73,70.15,53.94873693001494255238040059,0.83500,0.95,0.45,0.7288,0.7288,1,1,True,weak,,,19,True,46.30,0.7180,92.70,60,mcap_per_trial,10.11,,201,76.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,86.0,broad_portfolio,26,me_too,uncrowded,6171,18.31919011700611,1.0,58.14,52.73,46.86,54.47,85.10,77.91,,commercial,0.88
33,DYN,52.44,52.44,0.095,1.1873,early,mid,none,57.90,63.84,52.63,93.86,85,0.83500,0.95,0.45,9.7844,9.7844,8,8,True,strong,,,53,True,52.80,-0.2209,33.22,60,mcap_per_trial,770.57,,28,59.00,LOW,MODERATE,,unknown,0,unknown,0,False,,64.0,focused,4,me_too,uncrowded,668,32.28096326769099,4.0,64.75,78.06,50,77.09,50,51.07,50,development,1.0
34,JAZZ,52.34,52.34,0.1303,1.6284,late,large,none,67.17,68.89,53.52,93.53,80.32959733223208164121619784,0.83000,0.95,0.45,10.0896,10.0896,6,6,True,moderate,,,13,True,70.37,-0.0009,49.94,60,ev_cfo,,13.64,77,57.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,284,me_too,uncrowded,9405,,-1.0,50.70,61.46,40.45,37.84,54.65,78.25,50.00,commercial,1.0
35,CGEM,52.23,53.20,0.0812,1.0145,early,small,none,68.42,49.79,56.13,67.54,53.69432914092713950942253910,0.87500,0.95,0.65,1.5713,1.5713,4,4,True,weak,,,22,True,78.31,0.2689,70.44,60,mcap_per_trial,76.39,,28,59.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,74.0,diversified,10,me_too,highly_crowded,5818,28.996825073924192,5.0,62.72,63.84,50,84.95,50,81.60,50,development,1.0
36,KYMR,52.13,52.08,0.0791,0.9885,mid,mid,none,73.80,41.25,44.68,25.86,72.34677671920060792906944743,0.83000,0.95,0.45,6.5785,6.5785,5,5,True,moderate,,,31,True,40.77,0.0690,54.97,60,mcap_per_trial,562.17,,52,70.00,LOW,MODERATE,,unknown,2,exceptional,2,False,,78.0,diversified,11,me_too,crowded,5842,78.84598902157165,5.0,52.03,37.34,50,79.31,50,73.62,50,development,1.0
37,UTHR,52.04,57.24,0.0889,1.1113,late,large,none,63.88,66.67,51.37,87.56,85,0.80000,0.95,0.30,10.1651,10.1651,7,7,True,moderate,,,11,True,69.71,-0.0435,46.87,60,ev_cfo,,14.55,77,68.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,162,me_too,highly_crowded,9354,,3.0,55.87,10.00,64.03,84.14,80.82,74.00,50.00,commercial,1.0
38,SUPN,52.03,52.03,0.0913,1.1409,late,mid,none,74.03,66.15,39.54,87.56,39.47245664921652034719931198,0.80500,0.95,0.30,1.4075,1.4075,2,2,True,weak,,,114,False,38.88,-0.2354,32.11,60,ev_cfo,,50.00,77,77.00,LOW,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,79,me_too,highly_crowded,2386,,-1.0,56.28,50.92,44.04,82.89,52.17,64.18,,commercial,0.88
39,INCY,51.91,72.67,0.0877,1.0968,late,large,none,62.68,73.33,54.32,93.53,52.70972636032974567234929496,0.83000,0.95,0.45,4.0352,4.0352,3,3,True,weak,,,3,True,77.60,-0.1486,39.30,60,ev_cfo,,19.84,77,61.00,LOW,LOW,,unknown,2,exceptional,2,False,,88.0,broad_portfolio,471,me_too,highly_crowded,9375,,4.0,55.19,18.39,67.93,84.43,82.61,74.31,50.00,commercial,1.0
40,AMGN,51.76,51.76,0.1159,1.449,late,large,none,73.73,77.00,55.33,93.53,35.29647904572818835977135972,0.83000,0.95,0.45,1.3793,1.3793,1,1,True,weak,,,4,True,87.62,-0.0773,44.43,60,ev_cfo,,27.62,77,61.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,1000,me_too,highly_crowded,11201,,1.0,59.06,40.97,90.00,20.00,76.01,75.41,85.00,commercial,1.0
41,VNDA,51.58,52.53,0.0844,1.0548,late,small,none,74.92,55.97,45.04,87.56,39.36802222123446424002421713,0.87500,0.95,0.65,0.691,0.691,1,1,True,weak,,,22,True,63.65,0.4860,83.80,60,mcap_per_trial,15.78,,201,75.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,83,me_too,uncrowded,5790,25.632389878163075,2.0,59.67,82.48,37.32,83.97,38.58,79.63,50.00,commercial,1.0
42,DNA,51.57,54.15,0.1092,1.3645,late,small,none,66.27,68.05,54.66,93.53,41.86802222123446424002421713,0.83500,0.95,0.45,0.6424,0.6424,1,1,True,weak,,,5,True,80.75,-0.3971,20.81,60,mcap_per_trial,17.40,,201,68.00,LOW,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,1000,me_too,uncrowded,11330,48.154332086107196,1.0,53.87,78.22,32.17,51.75,38.91,31.46,,commercial,0.88
43,RARE,51.56,45.02,0.1046,1.307,late,mid,none,64.78,66.29,52.04,77.61,51.34677671920060792906944743,0.83500,0.95,0.45,5.9547,5.9547,5,5,True,weak,,,10,True,52.48,-0.3918,21.11,60,ev_revenue,,6.08,108,60.00,LOW,LOW,,unknown,1,strong,1,True,ODD,86.0,broad_portfolio,88,me_too,uncrowded,6516,25.23002873210383,5.0,53.96,79.78,30.03,52.14,38.39,31.71,,commercial,0.88
44,VRTX,51.55,72.17,0.0751,0.9385,late,large,none,77.00,47.80,52.07,77.61,55.20972636032974567234929496,0.83000,0.95,0.45,4.8556,4.8556,3,3,True,weak,,,14,True,71.30,-0.0726,44.77,60,ev_cfo,,36.80,77,60.00,LOW,LOW,,unknown,2,exceptional,1,True,BTD,88.0,broad_portfolio,277,me_too,highly_crowded,10161,,4.0,60.69,32.66,65.75,77.69,75.97,64.42,65.00,commercial,1.0
45,CAI,51.32,51.32,0.0833,1.0412,late,mid,none,70.15,57.85,54.25,93.53,56.09723000587788287448935713,0.83500,0.95,0.45,4.6668,4.6668,3,3,False,,,no_catalyst_data,0,True,80.75,-0.3412,24.26,60,ev_cfo,,50.00,77,41.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,1000,me_too,uncrowded,11368,,-1.0,50.88,33.24,74.19,25.96,75.23,74.27,65.00,commercial,1.0
46,INDV,51.01,51.01,0.0925,1.1561,late,mid,none,77.00,56.00,45.15,87.56,31.34768329255515781990926682,0.83000,0.95,0.45,1.6481,1.6481,1,1,True,weak,,,83,False,42.09,-0.0200,48.56,60,ev_cfo,,22.07,77,48.00,LOW,LOW,,unknown,0,unknown,0,False,,83.0,broad_portfolio,58,me_too,uncrowded,3001,,1.0,42.39,29.47,49.50,25.00,70.02,81.33,,commercial,0.88
47,SLN,50.96,50.96,0.0732,0.9144,mid,micro,none,74.83,48.05,42.78,25.86,47.94873693001494255238040059,0.80500,0.95,0.30,0.8059,0.8059,1,1,True,weak,,,206,False,36.10,-0.3924,21.08,60,mcap_per_trial,28.34,,52,47.00,LOW,LOW,,unknown,0,unknown,0,False,,78.0,diversified,8,me_too,highly_crowded,6727,27.26089276187089,4.0,65.88,79.62,50,85.00,50,34.18,50,development,1.0
48,NBIX,50.85,50.85,0.0685,0.8563,late,large,none,69.55,43.47,44.01,87.56,85,0.87500,0.95,0.65,10.4242,10.4242,8,8,True,moderate,,,22,True,68.15,-0.2597,30.27,60,ev_cfo,,33.19,77,68.00,LOW,LOW,,unknown,1,strong,1,False,,88.0,broad_portfolio,91,me_too,highly_crowded,8037,,4.0,51.88,10.00,60.18,74.37,80.10,56.90,50.00,commercial,1.0
49,AXSM,50.81,50.81,0.0801,1.0014,late,mid,none,72.54,37.59,38.61,87.56,83.59632343252333298364953773,0.87500,0.95,0.65,9.2762,9.2762,7,7,True,moderate,,,22,True,66.03,0.1795,63.64,60,ev_revenue,,20.00,108,60.00,LOW,LOW,,unknown,0,unknown,0,False,,83.0,broad_portfolio,34,me_too,moderate,2119,35.0203381692218,0.0,44.33,48.62,31.70,25.55,61.52,85.89,,commercial,0.88
50,ANAB,50.78,50.78,0.0781,0.9758,mid,small,none,63.45,48.74,51.91,73.28,84.13643144749136459922197975,0.80500,0.95,0.30,9.656,9.656,5,5,True,strong,,,83,False,49.83,0.3011,72.89,60,mcap_per_trial,156.46,,52,80.00,HIGH,HIGH,,unknown,0,unknown,0,False,,74.0,diversified,9,me_too,highly_crowded,1418,38.15417624521073,5.0,52.78,51.68,31.56,65.73,60.01,85.55,,commercial,0.88
51,HRTX,50.56,50.56,0.0963,1.2034,late,micro,none,69.85,61.23,29.81,70.15,58.0,0.83500,0.95,0.45,1.1562,1.1562,2,2,False,,,stage_commercial_not_active,,False,50.00,-0.1520,38.44,60,mcap_per_trial,8.94,,201,80.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,86.0,broad_portfolio,28,me_too,highly_crowded,6430,143.31851851851852,0.0,56.21,84.10,44.82,25.00,49.34,44.04,,commercial,0.88
52,SRPT,50.47,45.04,0.0989,1.2364,late,mid,none,62.98,68.45,43.26,95.00,55.09723000587788287448935713,0.83500,0.95,0.45,3.1213,3.1213,3,3,True,weak,,,51,True,49.78,-0.2454,31.35,60,ev_revenue,,1.47,108,75.00,MEDIUM,HIGH,,unknown,1,exceptional,1,False,,88.0,broad_portfolio,55,me_too,uncrowded,6738,28.848768719225042,2.0,61.43,88.53,35.63,45.17,63.47,37.75,,commercial,0.88
53,GLUE,50.37,50.37,0.0761,0.9508,early,small,none,74.74,51.03,51.73,67.54,73.64537892222049200151411810,0.80500,0.85,0.45,2.3271,2.3271,3,3,False,,,stage_pivotal_not_active,22,True,51.30,1.5895,96.55,60,ev_cfo,,49.89,77,75.00,LOW,LOW,,unknown,0,unknown,0,False,,55.0,concentrated,3,me_too,highly_crowded,4810,,5.0,67.40,65.20,55.76,74.25,77.31,79.60,,commercial,0.88
54,HRMY,50.20,50.20,0.0822,1.0277,late,mid,none,63.58,76.31,51.07,72.39,44.59723000587788287448935713,0.83000,0.95,0.45,3.2254,3.2254,3,3,True,weak,,,3,True,58.46,-0.0892,43.58,60,ev_cfo,,7.55,77,66.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,80.0,broad_portfolio,13,me_too,uncrowded,48,,2.0,71.75,69.35,67.80,71.27,84.18,70.30,,commercial,0.88
55,BBOT,49.92,49.92,0.0741,0.9264,early,small,none,63.16,56.93,24.50,67.54,72.0,0.80000,0.85,0.45,6.0432,6.0432,4,4,False,,,stage_early_not_active,,False,47.64,-0.0386,47.22,60,mcap_per_trial,312.89,,28,45.00,LOW,LOW,,unknown,0,unknown,0,False,,52.0,concentrated,3,me_too,highly_crowded,4569,78.4178063075635,5.0,61.13,64.04,50,84.47,50,50.21,50,development,1.0
56,GH,49.84,49.84,0.0866,1.0826,late,large,none,70.45,57.78,54.32,93.53,58.70972636032974567234929496,0.80500,0.95,0.30,4.8685,4.8685,3,3,True,weak,,,7,True,77.60,0.2891,71.97,60,ev_revenue,,20.00,108,61.00,LOW,LOW,,unknown,0,unknown,0,False,,88.0,broad_portfolio,1000,me_too,uncrowded,11368,107.97474923031085,0.0,38.16,10.00,44.23,25.00,54.05,78.20,50.00,commercial,1.0
57,REGN,49.59,49.59,0.0713,0.8908,late,large,none,68.36,60.00,54.32,77.61,62.91635001763052432863826259,0.83000,0.95,0.45,3.2967,3.2967,4,4,True,weak,,,4,True,77.60,-0.0308,47.79,60,ev_cfo,,16.16,77,68.00,LOW,LOW,,unknown,0,unknown,0,True,BTD,88.0,broad_portfolio,737,me_too,highly_crowded,11226,,3.0,62.29,49.13,60.32,78.82,70.81,75.21,65.00,commercial,1.0
58,ASMB,49.57,49.57,0.0703,0.8792,mid,small,none,68.62,55.55,46.42,77.59,42.36802222123446424002421713,0.80500,0.95,0.30,0.7289,0.7289,1,1,True,weak,,,24,True,44.22,-0.2334,32.26,60,mcap_per_trial,20.65,,52,63.00,LOW,MODERATE,,unknown,0,unknown,0,False,,79.0,broad_portfolio,21,me_too,highly_crowded,2713,35.153515272004334,5.0,49.73,49.66,31.78,82.43,34.83,56.15,,commercial,0.88
59,TRVI,48.91,46.46,0.059,0.7375,mid,small,none,77.00,23.52,56.31,93.97,77.69432914092713950942253910,0.80000,0.95,0.30,4.7156,4.7156,4,4,True,moderate,,,24,True,60.29,-0.1420,39.78,60,mcap_per_trial,113.63,,52,67.00,LOW,MODERATE,,unknown,0,unknown,0,False,,75.0,diversified,13,me_too,crowded,113,67.87939640162507,5.0,51.61,34.96,50,84.67,50,62.69,50,development,1.0
60,CDNA,48.88,48.88,0.0624,0.7794,late,small,none,66.87,42.00,50.06,93.53,60.25222683436291441962309844,0.87500,0.95,0.65,2.4663,2.4663,3,3,True,weak,,,22,True,71.30,0.1937,64.72,60,ev_cfo,,42.75,77,79.00,LOW,MODERATE,,unknown,0,unknown,0,False,,88.0,broad_portfolio,299,me_too,uncrowded,10571,,0.0,75.66,81.76,67.08,80.34,69.92,71.14,,commercial,0.88
