rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,days_to_catalyst,in_optimal_window,catalyst_score_effective,alpha_60d,momentum_score,momentum_window,valuation_method,mcap_per_asset,ev_multiple,peer_count,si_score,si_crowding_risk,si_squeeze_potential,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,top_tier_partners,has_fda_designations,designation_types,pipeline_diversity_score,pipeline_risk_profile,program_count,competitive_position,crowding_level,competitor_count,cash_runway_months,survivability_score,ms_composite,ms_fv_discount,ms_capital_efficiency,ms_leverage_health,ms_growth_quality,ms_momentum,ms_moat_quality,ms_regime,ms_confidence
250,TNYA,17.88,17.34,-0.0989,-1.2364,early,micro,sev2,50.53,5,36.66,67.54,53.94873693001494255238040059,0.83500,0.95,0.45,0.6424,0.6424,1,1,True,moderate,,,83,False,32.23,-0.5235,14.51,60,mcap_per_trial,46.66,,28,50.00,MEDIUM,LOW,,unknown,0,unknown,0,False,,54.0,focused,4,fast_follower,uncrowded,8,14.426330903468081,2.0,59.20,64.32,50,77.38,50,35.24,50,development,1.0
251,EDIT,17.80,16.36,-0.0963,-1.2034,early,micro,sev2,63.16,5,37.47,95.00,,0.83500,0.95,0.45,,,0,0,False,,,stage_early_not_active,,False,50.00,-0.4197,19.55,60,mcap_per_trial,38.85,,28,59.00,LOW,MODERATE,,unknown,1,strong,1,True,BTD,64.0,focused,5,me_too,highly_crowded,867,14.22828421495472,-1.0,64.37,88.89,50,58.63,50,34.17,50,development,1.0
252,RGEN,17.75,17.40,-0.055,-0.6869,early,mid,sev1,18.17,31.23,44.32,47.37,60.5,0.74000,0.65,0.45,2.6039,2.6039,3,3,False,,,stage_early_not_active,,False,50.00,-0.0725,44.78,60,ev_cfo,,50.00,77,61.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,-1.0,57.94,65.51,45.14,64.58,53.56,59.28,65.00,commercial,1.0
253,KRYS,17.71,16.29,-0.0713,-0.8908,late,mid,none,15.84,31.78,32.64,10.70,71.5,0.87500,0.95,0.65,5.8348,5.8348,4,4,True,moderate,,,21,True,66.48,0.2844,71.61,60,ev_cfo,,50.00,77,71.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,83.0,broad_portfolio,17,me_too,uncrowded,5244,,2.0,68.58,51.88,63.76,84.50,90.00,85.11,,commercial,0.88
254,AVBP,17.68,17.68,-0.0676,-0.845,late,small,none,5.78,45.89,29.81,24.13,68.03556574007596643154558912,0.83000,0.95,0.45,3.9378,3.9378,4,4,False,,,stage_pivotal_not_active,,False,50.00,-0.0230,48.35,60,mcap_per_trial,179.62,,201,80.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,75.0,diversified,5,me_too,highly_crowded,4567,27.731794042946202,5.0,64.49,71.63,50,85.00,50,62.40,50,development,1.0
255,VCYT,17.31,17.31,-0.0607,-0.7583,early,mid,sev1,18.17,46.87,44.32,11.40,61.0,0.74000,0.65,0.45,1.935,1.935,2,2,False,,,stage_early_not_active,,False,50.00,-0.0874,43.71,60,ev_cfo,,32.14,77,63.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,2.0,64.68,64.90,48.76,82.68,67.71,59.23,,commercial,0.88
256,CSTL,17.25,17.25,-0.051,-0.6379,early,small,sev1,18.17,59.31,44.32,11.40,,0.74500,0.65,0.45,,,0,0,False,,True,thesis_gate_triggered,,False,50.00,0.4038,79.57,60,ev_cfo,,24.10,77,68.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,5.0,67.47,75.82,43.61,80.11,65.13,75.57,,commercial,0.88
257,LBRX,17.12,17.12,-0.0526,-0.6573,late,small,none,11.84,62.41,39.54,24.13,,0.79000,0.95,0.30,,,0,0,False,,True,thesis_gate_triggered,509,False,50.00,0.0918,55.88,60,mcap_per_trial,110.91,,201,48.00,LOW,LOW,,unknown,0,unknown,0,False,,76.0,diversified,5,me_too,highly_crowded,765,220.6225080385852,4.0,55.19,42.25,50,84.06,50,85.42,50,development,1.0
258,LRMR,17.05,17.05,-0.095,-1.1873,mid,micro,sev2,62.41,6.89,36.08,25.86,85,0.83500,0.95,0.45,4.898,4.898,5,5,False,,True,thesis_gate_triggered,,False,50.00,-0.2704,29.45,60,mcap_per_trial,41.82,,52,68.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,72.0,diversified,7,best_in_class,crowded,16,23.401843278092684,4.0,67.84,84.53,50,83.29,50,45.22,50,development,1.0
259,PRVA,16.91,16.91,-0.0542,-0.677,early,mid,sev1,18.17,51.58,44.32,11.40,55.5,0.74500,0.65,0.45,0.9622,0.9622,1,1,False,,,stage_early_not_active,,False,50.00,-0.2607,30.19,60,ev_cfo,,50.00,77,68.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,3.0,63.30,62.90,49.15,84.63,61.14,58.08,,commercial,0.88
260,LYEL,16.81,15.49,-0.0667,-0.8338,late,small,none,5,59.19,29.81,10.70,61.25519210436501757148264707,0.83500,0.95,0.45,3.2118,3.2118,2,2,False,,,stage_pivotal_not_active,,False,50.00,0.3210,74.34,60,mcap_per_trial,92.80,,201,44.00,LOW,LOW,,unknown,0,unknown,0,False,,71.0,focused,6,me_too,highly_crowded,5820,32.56678525638304,5.0,58.62,58.31,50,75.74,50,71.58,50,development,1.0
261,NTLA,16.81,15.00,-0.0732,-0.9144,late,small,sev1,9.07,25.49,32.84,39.80,48.36500528650954314145117605,0.83000,0.95,0.45,0.7522,0.7522,1,1,False,,,stage_pivotal_not_active,52,True,38.13,0.0117,50.85,60,mcap_per_trial,148.15,,201,78.00,HIGH,HIGH,,unknown,1,exceptional,1,False,,84.0,diversified,10,me_too,highly_crowded,6047,18.843168403231207,3.0,63.77,95.00,50,75.24,50,50.70,50,development,1.0
262,IKT,16.72,16.72,-0.0641,-0.8009,late,micro,none,5,53.75,35.44,28.11,43.96216704112615637992335972,0.80500,0.85,0.45,0.3882,0.3882,1,1,False,,,stage_pivotal_not_active,,False,52.69,-0.1634,37.58,60,mcap_per_trial,63.46,,201,49.00,LOW,LOW,,unknown,0,unknown,0,False,,71.0,focused,3,me_too,highly_crowded,478,45.77425401288997,4.0,52.39,52.14,50,53.79,50,69.18,50,development,1.0
