rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,company_stage,lead_program_stage,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,clinical_contrib,financial_contrib,catalyst_contrib,pos_contrib,momentum_contrib,smart_money_contrib,clinical_conf,financial_conf,catalyst_conf,pos_conf,confidence_overall,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,reinforce_pts,catalyst_mult,momentum_mult,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
152,HROW,29.89,29.89,-0.005,-0.0629,late,commercial,small,none,62.94,15.84,34.33,66.86,,,55.5,18.25,4.38,0.86,6.00,,3.44,0.95,0.95,0.45,0.95,0.83000,2.6667,2.6667,1,1,False,,,,,,stage_commercial_not_active,,,False,-0.1078,,,77,,67.00,,unknown,0,,,False,,68.0,,,,
153,KMDA,29.67,29.67,-0.0063,-0.0787,late,commercial,small,none,74.05,4.56,37.06,68.52,,,,24.02,0.93,1.04,6.00,,,0.95,0.65,0.45,0.95,0.74000,,,0,0,False,,,,,,stage_commercial_not_active,,,False,-0.0028,,,197,,50.00,,unknown,0,,,False,,86.0,,,,
154,ILMN,28.71,29.64,0.0177,0.2218,early,early,large,none,39.48,50.58,37.32,39.28,,,52.0,13.64,12.99,0.84,6.00,,2.94,0.85,0.95,0.45,0.40,0.80000,2.1333,2.1333,2,2,False,,,,,True,thesis_gate_triggered,,,False,0.0856,,,77,,68.00,,unknown,0,,,False,,35.0,,,,
155,INSM,29.40,29.40,0.005,0.0629,late,poc,large,none,58.12,10.84,33.36,28.99,,,85,18.54,2.05,1.66,4.43,,11.08,0.95,0.95,0.65,0.73,0.87500,23.4904,23.4904,14,14,False,,,,,True,thesis_gate_triggered,,,True,-0.1747,,,108,,48.00,,unknown,0,,,True,,88.0,,,,
156,AVXL,29.15,29.15,0.0082,0.1023,late,pivotal,small,none,49.34,43.54,31.94,21.81,,,,18.90,10.10,1.33,3.62,,,0.95,0.95,0.45,0.67,0.83500,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.5013,,,197,,79.00,,unknown,0,,,False,,83.0,,,,
157,CRNX,29.14,29.14,0.0165,0.2057,late,poc,mid,none,39.06,61.43,42.16,6.61,,,74.22123882797411388997115643,14.36,9.88,2.57,1.08,,7.95,0.95,0.95,0.65,0.70,0.87500,6.055,6.055,5,5,False,,,,,True,thesis_gate_triggered,,,True,0.1689,,,197,,68.00,,unknown,0,,,True,,83.0,,,,
158,CLYM,29.00,29.00,-0.0088,-0.1102,mid,poc,small,none,20.12,39.04,51.90,87.36,,,60.20298485481161042122396869,7.61,7.08,2.22,6.00,,6.30,0.95,0.95,0.45,0.60,0.83500,1.7333,1.7333,3,3,True,moderate,0.297,1.0297,1.0178,,,,,True,1.1803,,,51,,61.00,,unknown,0,,,False,,67.0,,,,
159,ABCL,28.93,28.93,0.0063,0.0787,late,pivotal,small,none,30.76,64.25,34.84,39.77,,,58.93916225881405541855930666,10.53,13.33,1.29,6.00,,5.55,0.95,0.95,0.45,0.80,0.83500,2.2797,2.2797,2,2,False,,,,,True,thesis_gate_triggered,,,False,-0.3638,,,197,,77.00,,unknown,0,,,False,,79.0,,,,
160,PCVX,28.71,28.71,0.0025,0.0314,late,pivotal,mid,none,12.52,64.81,34.33,60.50,,,85,4.16,11.92,1.30,6.00,,9.98,0.95,0.95,0.45,0.78,0.83000,10.6154,10.6154,8,8,False,,,,,True,thesis_gate_triggered,,,False,0.0886,,,197,,67.00,,unknown,1,,,True,,76.0,,,,
161,ALLO,28.44,28.44,0.012,0.1499,mid,poc,small,none,41.96,55.27,38.82,23.18,,,,17.88,11.28,1.87,3.95,,,0.95,0.95,0.45,0.53,0.83000,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,0.0160,,,51,,56.00,,unknown,0,,,True,,78.0,,,,
162,AQST,28.07,25.87,0.0101,0.1261,late,pivotal,small,none,33.42,61.71,31.94,21.81,,,84.39488794471191285261727064,11.52,12.89,1.19,3.26,,8.50,0.95,0.95,0.45,0.67,0.83500,4.8334,4.8334,4,4,False,,,,,True,thesis_gate_triggered,,,False,-0.6088,,,197,,60.00,,unknown,0,,,False,,79.0,,,,
163,CRBU,27.80,24.81,-0.0133,-0.1658,early,early,micro,sev1,54.09,15.15,37.32,69.49,,,,24.42,3.91,1.03,6.00,,,0.95,0.95,0.45,0.40,0.83500,,,0,0,False,,,,,,stage_early_not_active,,,False,-0.4694,,,28,,51.00,,unknown,0,,,False,,70.0,,,,
164,ALVO,27.79,26.96,-0.0126,-0.1578,late,pivotal,small,none,64.76,0,37.06,50.00,,,,25.52,0.00,1.58,6.00,,,0.95,0.65,0.45,0.77,0.74500,,,0,0,False,,,,,,stage_pivotal_not_active,,,False,-0.3198,,,108,,38.00,,unknown,0,,,False,,79.0,,,,
165,MESO,27.48,27.48,-0.0139,-0.1737,late,poc,mid,none,59.12,0,43.53,50.00,,,,27.42,0.00,0.00,6.00,,,0.95,0.65,0.30,0.77,0.71000,,,0,0,False,,,,,,below_threshold,,,False,-0.0778,,,197,,52.00,,unknown,0,,,False,,88.0,,,,
166,ANNX,27.34,27.34,-0.0145,-0.1817,late,pivotal,small,sev1,58.46,8.01,31.94,50.00,,,83.89488794471191285261727064,19.80,1.64,1.17,6.00,,8.99,0.95,0.95,0.45,0.77,0.83500,5.276,5.276,4,4,False,,,,,,stage_pivotal_not_active,,,False,0.8411,,,197,,57.00,,unknown,0,,,False,,83.0,,,,
167,SANA,27.22,25.02,-0.0171,-0.2138,early,early,small,sev1,61.11,0,37.32,69.49,,,61.0,25.61,0.00,0.91,6.00,,4.73,0.95,0.95,0.45,0.40,0.83000,2.0164,2.0164,2,2,False,,,,,,stage_early_not_active,,,False,0.0184,,,28,,80.00,,unknown,0,,,False,,72.0,,,,
168,TYRA,27.22,27.22,0.0006,0.0079,mid,poc,small,none,52.30,35.14,42.08,23.18,,,53.96566680585542926692731131,21.63,6.96,0.00,3.84,,5.66,0.95,0.95,0.30,0.53,0.80500,2.6002,2.6002,2,2,False,,,,,True,thesis_gate_triggered,,,False,0.8774,,,51,,65.00,,unknown,0,,,False,,75.0,,,,
169,ABSI,26.91,26.10,0.0031,0.0393,late,poc,small,none,32.42,53.25,53.30,6.61,,,66.20298485481161042122396869,12.12,9.54,2.25,1.10,,6.93,0.95,0.95,0.45,0.70,0.83500,4.0822,4.0822,3,3,False,,,,,True,thesis_gate_triggered,,,True,-0.4056,,,197,,70.00,,unknown,0,,,False,,88.0,,,,
170,TENX,26.78,26.78,0.0019,0.0236,late,poc,micro,none,26.12,58.61,40.98,26.23,,,55.5,10.73,12.44,0.00,4.85,,5.50,0.95,0.95,0.30,0.72,0.80500,0.6667,0.6667,1,1,False,,,,,True,thesis_gate_triggered,,,False,0.7537,,,197,,75.00,,unknown,0,,,False,,75.0,,,,
171,CLLS,26.63,25.83,-0.0177,-0.2218,early,poc,small,none,52.92,0,47.37,69.49,,,,25.78,0.00,0.00,6.00,,,0.95,0.65,0.30,0.40,0.71000,,,0,0,False,,,,,,below_threshold,,,False,0.0181,,,28,,39.00,,unknown,0,,,False,,63.0,,,,
172,ZLAB,26.61,26.61,0.0013,0.0157,late,poc,small,none,33.42,71.00,64.41,6.61,,,47.70298485481161042122396869,12.28,12.49,3.73,1.08,,5.34,0.95,0.95,0.65,0.70,0.87500,2.1944,2.1944,3,3,False,,,,,True,thesis_gate_triggered,,,True,-0.5676,,,108,,68.00,,unknown,0,,,False,,88.0,,,,
173,GMAB,26.51,26.51,-0.0184,-0.2299,late,pivotal,large,none,57.13,8.54,54.93,84.00,,,58.91000317999046003179988870,17.99,1.33,1.85,6.00,,4.27,0.95,0.65,0.45,0.87,0.74000,2.5752,2.5752,3,3,False,,,,,,stage_pivotal_not_active,,,True,0.0376,,,108,,59.00,,unknown,0,,,False,,86.0,,,,
174,XENE,26.19,26.19,-0.0013,-0.0157,late,pivotal,mid,none,41.05,24.94,52.74,21.81,,,85,13.88,4.67,2.03,3.20,,9.51,0.95,0.95,0.45,0.67,0.83500,9.0211,9.0211,8,8,False,,,,,True,thesis_gate_triggered,,,True,-0.1610,,,197,,65.00,,unknown,0,,,False,,83.0,,,,
175,WVE,25.89,23.86,-0.0223,-0.2786,mid,poc,mid,sev1,47.70,0,42.08,98.85,,,80.22123882797411388997115643,19.44,0.00,0.00,6.00,,8.59,0.95,0.95,0.30,0.63,0.80500,4.6471,4.6471,5,5,True,weak,0.224,1.0224,1.0135,,,,,False,0.1508,,,51,,60.00,,unknown,0,,,False,,78.0,,,,
176,ARWR,25.82,23.75,-0.0025,-0.0314,late,pivotal,mid,none,25.12,40.38,54.46,39.77,,,51.94477584219446524096837506,8.71,7.75,2.15,6.00,,4.03,0.95,0.95,0.45,0.80,0.83500,1.8245,1.8245,2,2,False,,,,,True,thesis_gate_triggered,,,True,1.0073,,,77,,57.00,,unknown,2,,,True,,88.0,,,,
177,ELDN,25.08,25.08,-0.0262,-0.328,mid,poc,micro,sev1,37.35,14.62,34.16,71.07,,,52.5,14.32,2.90,1.55,6.00,,5.20,0.95,0.95,0.45,0.58,0.83500,0.5333,0.5333,1,1,False,,,,,,no_catalyst_data,,,False,-0.4504,,,51,,53.00,,unknown,0,,,False,,75.0,,,,
178,ABUS,24.69,24.69,-0.0057,-0.0708,mid,pivotal,small,none,45.40,25.36,51.57,23.18,,,,17.65,5.97,2.17,3.58,,,0.95,0.95,0.45,0.53,0.83500,,,0,0,False,,,,,True,thesis_gate_triggered,,,True,-0.2356,,,51,,47.00,,unknown,0,,,False,,78.0,,,,
179,ACRV,24.40,24.40,-0.0038,-0.0472,mid,poc,micro,none,20.12,61.13,42.38,23.18,,,78.32050807568877293527446342,7.56,13.50,0.00,3.96,,8.40,0.85,0.95,0.30,0.53,0.77000,1.3333,1.3333,2,2,False,,,,,True,thesis_gate_triggered,,,False,-0.1094,,,51,,44.00,,unknown,0,,,False,,64.0,,,,
180,ABEO,24.39,24.39,-0.0044,-0.055,late,pivotal,micro,none,15.50,66.42,31.94,39.77,,,57.11896724206605001902396979,5.40,15.13,1.27,6.00,,5.00,0.95,0.95,0.45,0.80,0.83500,1.1748,1.1748,2,2,False,,,,,True,thesis_gate_triggered,,,False,-0.2639,,,197,,76.00,,unknown,0,,,False,,76.0,,,,
181,HUMA,23.98,23.98,-0.0101,-0.1261,late,poc,micro,sev1,55.14,15.91,40.98,26.23,,,,25.13,3.75,0.00,5.38,,,0.95,0.95,0.30,0.72,0.80500,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.5989,,,197,,56.00,,unknown,0,,,False,,80.0,,,,
182,ADMA,23.77,23.77,-0.0296,-0.3697,late,commercial,mid,none,39.52,13.84,31.94,63.82,,,49.0,11.41,3.48,0.84,6.00,,2.77,0.95,0.95,0.45,0.95,0.83500,1.1748,1.1748,2,2,False,,,,,,stage_commercial_not_active,,,False,-0.2338,,,77,,63.00,,unknown,0,,,False,,75.0,,,,
183,KYTX,23.76,23.05,-0.0114,-0.1419,mid,poc,small,sev1,57.47,19.51,57.05,23.18,,,42.72834875689924811263065393,22.03,3.58,3.45,3.56,,3.85,0.95,0.95,0.65,0.53,0.87500,1.5442,1.5442,1,1,False,,,,,True,thesis_gate_triggered,,,True,0.4010,,,51,,56.00,,unknown,0,,,False,,78.0,,,,
184,CMPS,23.58,23.58,-0.0069,-0.0865,late,poc,small,sev1,37.72,23.24,52.54,21.81,,,85,13.80,4.07,3.03,3.48,,10.11,0.95,0.95,0.65,0.67,0.87000,6.8016,6.8016,5,5,False,,,,,True,thesis_gate_triggered,,,True,-0.0064,,,197,,60.00,,unknown,0,,,False,,76.0,,,,
185,DRUG,23.50,23.50,-0.019,-0.238,mid,poc,small,none,41.96,17.55,34.16,55.75,,,66.20298485481161042122396869,14.45,3.29,1.51,6.00,,6.93,0.85,0.95,0.45,0.50,0.80500,6.5162,6.5162,3,3,False,,,,,True,thesis_gate_triggered,,,False,0.4962,,,51,,44.00,,unknown,0,,,False,,67.0,,,,
186,NGNE,23.44,22.74,-0.0076,-0.0944,late,pivotal,micro,none,5.23,62.13,31.94,39.77,,,85,1.75,13.56,1.21,6.00,,10.70,0.95,0.95,0.45,0.80,0.83500,11.7551,11.7551,8,8,False,,,,,True,thesis_gate_triggered,,,False,-0.4894,,,197,,83.00,,unknown,0,,,False,,79.0,,,,
187,RAPP,23.34,23.34,-0.0082,-0.1023,mid,poc,small,none,7.47,69.92,42.69,55.75,,,77.17762095272397272981728346,2.72,13.85,0.00,6.00,,10.06,0.85,0.95,0.30,0.50,0.77000,7.3052,7.3052,5,5,False,,,,,True,thesis_gate_triggered,,,False,-0.0361,,,51,,59.00,,unknown,0,,,False,,63.0,,,,
188,RGNX,23.00,21.16,-0.0094,-0.1181,late,poc,small,none,11.19,71.00,53.00,39.77,,,42.72834875689924811263065393,4.17,12.66,3.12,6.00,,3.85,0.95,0.95,0.65,0.80,0.87000,2.6667,2.6667,1,1,False,,,,,True,thesis_gate_triggered,,,True,-0.0123,,,197,,69.00,,unknown,0,,,False,,80.0,,,,
189,CCCC,22.47,22.47,-0.012,-0.1499,mid,pivotal,micro,none,24.72,33.19,55.09,23.18,,,76.74167500331924175861585401,8.80,7.72,2.23,3.28,,7.23,0.95,0.95,0.45,0.53,0.83500,2.0301,2.0301,3,3,False,,,,,True,thesis_gate_triggered,,,True,-0.3736,,,51,,60.00,,unknown,0,,,False,,57.0,,,,
190,SNDX,22.06,22.06,-0.0107,-0.134,late,poc,small,sev1,37.06,20.99,66.25,6.61,,,64.70298485481161042122396869,13.39,3.63,3.78,1.06,,8.15,0.95,0.95,0.65,0.70,0.87500,3.6453,3.6453,3,3,False,,,,,True,thesis_gate_triggered,,,True,0.2260,,,197,,83.00,,unknown,1,,,False,,88.0,,,,
191,MLTX,21.94,21.94,-0.0165,-0.2057,late,poc,small,none,7.54,68.48,50.41,50.00,,,61.94030290376779157552062608,2.72,11.84,2.06,6.00,,8.08,0.95,0.95,0.45,0.77,0.83000,2.5931,2.5931,4,4,False,,,,,True,thesis_gate_triggered,,,True,-0.0925,,,197,,44.00,,unknown,0,,,False,,80.0,,,,
192,PGEN,21.94,21.28,-0.0371,-0.464,late,pivotal,small,sev1,62.11,0.12,40.98,66.03,,,46.96129941586512670153032467,22.97,0.03,0.00,6.00,,3.80,0.95,0.95,0.30,0.87,0.80500,1.6709,1.6709,1,1,False,,,,,,stage_pivotal_not_active,,,False,0.3112,,,197,,59.00,,unknown,0,,,False,,80.0,,,,
193,CRSP,21.87,21.87,-0.0158,-0.1977,late,poc,mid,none,7.54,71.00,40.98,39.77,,,56.59935677608942474373600505,3.03,12.48,0.00,6.00,,5.70,0.95,0.95,0.30,0.80,0.80500,4.2709,4.2709,3,3,False,,,,,True,thesis_gate_triggered,,,False,-0.3106,,,197,,80.00,,unknown,2,,,True,,86.0,,,,
194,PACB,21.72,21.72,-0.0152,-0.1897,early,early,small,sev1,10.23,71.00,44.74,39.28,,,58.0,3.26,18.09,1.26,6.00,,4.50,0.65,0.95,0.45,0.40,0.68000,1.2,1.2,2,2,False,,,,,True,thesis_gate_triggered,,,False,0.1247,,,0,,56.00,,unknown,0,,,False,,35,,,,
195,ASND,21.33,21.33,-0.0249,-0.3114,late,poc,large,none,39.72,0,25.63,39.77,,,85,13.24,0.00,1.33,6.00,,9.98,0.95,0.65,0.65,0.80,0.78000,17.1348,17.1348,9,9,False,,,,,True,thesis_gate_triggered,,,True,-0.0988,,,108,,65.00,,unknown,0,,,False,,83.0,,,,
196,COLL,21.16,21.16,-0.0289,-0.3613,late,commercial,small,none,7.54,59.45,31.94,63.82,,,,2.09,17.90,0.87,6.00,,,0.85,0.95,0.45,0.89,0.80000,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.0024,,,77,,80.00,,unknown,0,,,False,,64.0,,,,
197,PVLA,21.05,21.05,-0.0197,-0.2461,late,pivotal,small,none,30.76,14.21,57.37,26.23,,,84.39488794471191285261727064,10.56,2.95,2.13,4.02,,8.50,0.95,0.95,0.45,0.72,0.83000,6.2439,6.2439,4,4,False,,,,,True,thesis_gate_triggered,,,True,0.1022,,,197,,48.00,,unknown,0,,,False,,72.0,,,,
198,ZBIO,20.95,19.31,-0.0203,-0.2542,late,pivotal,small,none,23.47,41.29,52.74,6.61,,,71.91702510176298413558828865,8.12,8.65,1.98,1.01,,6.77,0.95,0.95,0.45,0.70,0.83500,4.0519,4.0519,3,3,False,,,,,True,thesis_gate_triggered,,,True,-0.3992,,,197,,53.00,,unknown,0,,,False,,82.0,,,,
199,BCAX,20.92,20.92,-0.021,-0.2623,mid,poc,small,none,7.47,66.02,34.77,23.18,,,77.44030290376779157552062608,2.74,13.18,1.64,3.86,,9.22,0.85,0.95,0.45,0.53,0.74000,5.8584,5.8584,4,4,False,,,,,True,thesis_gate_triggered,,,False,-0.0327,,,0,,77.00,,unknown,0,,,False,,46.0,,,,
200,PRTA,20.86,20.86,-0.0216,-0.2704,late,pivotal,small,none,18.49,54.38,31.94,21.81,,,53.43916225881405541855930666,6.46,11.51,1.21,3.31,,4.68,0.95,0.95,0.45,0.67,0.83500,2.4619,2.4619,2,2,False,,,,,True,thesis_gate_triggered,,,False,-0.2199,,,197,,61.00,,unknown,0,,,False,,86.0,,,,
201,KALV,20.83,20.83,-0.0309,-0.3866,late,poc,small,sev1,38.40,17.60,41.48,56.08,,,47.96566680585542926692731131,15.41,3.38,0.00,6.00,,5.02,0.95,0.95,0.30,0.78,0.80000,2.9406,2.9406,2,2,False,,,,,True,thesis_gate_triggered,,,False,0.0014,,,197,,78.00,,unknown,0,,,False,,80.0,,,,
202,IMVT,20.79,19.13,-0.0243,-0.3032,late,poc,mid,none,14.52,9.15,72.48,50.00,,,70.78217985391645846308873212,5.26,1.45,4.35,6.00,,8.03,0.95,0.95,0.65,0.77,0.87000,7.1748,7.1748,6,6,False,,,,,True,thesis_gate_triggered,,,True,0.0283,,,197,,58.00,,unknown,1,,,True,,79.0,,,,
203,TSHA,20.78,20.78,-0.0236,-0.295,late,pivotal,small,none,0,56.92,31.94,39.77,,,85,0.00,11.34,1.14,6.00,,11.08,0.95,0.95,0.45,0.80,0.83000,11.9437,11.9437,9,9,False,,,,,True,thesis_gate_triggered,,,False,-0.0807,,,197,,77.00,,unknown,0,,,False,,68.0,,,,
204,MCRB,20.78,18.54,-0.0229,-0.2868,late,pivotal,micro,none,22.47,55.80,31.94,6.61,,,,8.67,14.08,1.40,1.13,,,0.95,0.95,0.45,0.70,0.83500,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.2167,,,77,,71.00,,unknown,0,,,False,,82.0,,,,
205,VKTX,20.63,20.63,-0.0323,-0.4036,late,pivotal,mid,sev1,50.17,3.50,31.94,32.03,,,56.87791033687778609638735002,17.36,0.67,1.26,5.04,,4.74,0.95,0.95,0.45,0.75,0.83500,2.3175,2.3175,3,3,False,,,,,True,thesis_gate_triggered,,,False,-0.3819,,,197,,74.00,,unknown,0,,,False,,79.0,,,,
206,RANI,20.50,19.88,-0.0458,-0.5719,early,poc,micro,sev2,77.49,0,78.25,95.81,,,,34.29,0.00,5.74,6.00,,,0.95,0.65,0.65,0.45,0.78000,,,0,0,False,,,,,,below_threshold,,,True,0.0579,,,28,,61.00,,unknown,0,,,False,,67.0,,,,
207,PCRX,20.34,20.34,-0.0282,-0.3529,late,commercial,small,none,0,71.06,31.94,62.99,,,,0.00,21.48,0.88,6.00,,,0.85,0.95,0.45,0.84,0.80500,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.3959,,,77,,78.00,,unknown,0,,,False,,35.0,,,,
208,IMCR,20.28,20.28,-0.0256,-0.3197,late,poc,small,none,0,78.69,56.00,6.61,,,85,0.00,13.62,3.19,1.06,,10.70,0.95,0.95,0.65,0.70,0.87500,10.1087,10.1087,6,6,False,,,,,True,thesis_gate_triggered,,,True,-0.2188,,,77,,77.00,,unknown,0,,,True,,83.0,,,,
209,ORKA,19.63,19.63,-0.035,-0.4379,mid,poc,small,none,0,53.32,44.41,87.36,,,85,0.00,10.17,0.00,6.00,,11.08,0.95,0.95,0.30,0.60,0.80500,9.2784,9.2784,7,7,False,,,,,True,thesis_gate_triggered,,,False,0.4408,,,51,,79.00,,unknown,0,,,False,,67.0,,,,
210,CTKB,19.48,19.48,-0.0269,-0.3363,early,early,small,sev1,10.23,71.00,44.74,7.12,,,,4.37,24.26,1.68,0.00,,,0.65,0.95,0.45,0.30,0.68000,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,0.0160,,,0,,61.00,,unknown,0,,,False,,35,,,,
211,FLGT,19.42,19.42,-0.0276,-0.3446,early,early,small,sev1,10.23,71.00,44.74,39.28,,,,3.32,18.42,1.28,6.00,,,0.65,0.95,0.45,0.40,0.74000,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,-0.0554,,,108,,63.00,,unknown,0,,,False,,35,,,,
212,BIOA,19.28,19.28,-0.0302,-0.3781,mid,poc,small,none,0,68.95,34.16,65.33,,,77.94030290376779157552062608,0.00,12.42,1.45,6.00,,8.72,0.95,0.95,0.45,0.58,0.83500,3.8567,3.8567,4,4,False,,,,,True,thesis_gate_triggered,,,False,1.7396,,,51,,44.00,,unknown,0,,,False,,70.0,,,,
213,INBX,18.76,18.76,-0.0343,-0.4293,mid,poc,small,sev1,54.60,3.87,42.08,23.18,,,66.20298485481161042122396869,22.58,0.77,0.00,3.84,,6.94,0.95,0.95,0.30,0.53,0.80500,3.7221,3.7221,3,3,False,,,,,True,thesis_gate_triggered,,,False,0.4362,,,51,,53.00,,unknown,0,,,False,,75.0,,,,
214,MYGN,18.74,18.74,-0.0316,-0.3951,early,early,small,sev1,10.23,68.86,44.74,7.12,,,55.5,3.76,20.23,1.45,0.00,,3.97,0.65,0.95,0.45,0.30,0.74500,0.6667,0.6667,1,1,False,,,,,True,thesis_gate_triggered,,,False,-0.4128,,,108,,67.00,,unknown,0,,,False,,35,,,,
215,REPL,18.58,17.65,-0.0337,-0.4207,late,poc,small,none,0.58,59.17,50.27,39.77,,,65.17762095272397272981728346,0.21,10.19,2.04,6.00,,8.50,0.95,0.95,0.45,0.80,0.83500,4.8879,4.8879,5,5,False,,,,,True,thesis_gate_triggered,,,True,-0.2844,,,197,,80.00,,unknown,0,,,False,,83.0,,,,
216,GOSS,18.50,17.56,-0.033,-0.4121,late,pivotal,small,sev1,35.73,13.65,32.12,6.61,,,85,12.12,2.80,1.18,0.99,,9.65,0.95,0.95,0.45,0.70,0.83000,7.7798,7.7798,6,6,False,,,,,True,thesis_gate_triggered,,,False,-0.0976,,,197,,48.00,,unknown,0,,,False,,84.0,,,,
217,ATXS,18.05,18.05,-0.0357,-0.4466,late,pivotal,small,none,0,54.95,31.94,50.00,,,68.91702510176298413558828865,0.00,11.45,1.19,6.00,,6.49,0.95,0.95,0.45,0.77,0.83000,2.8328,2.8328,3,3,False,,,,,True,thesis_gate_triggered,,,False,0.0319,,,197,,54.00,,unknown,0,,,False,,76.0,,,,
218,CSTL,17.93,17.93,-0.0364,-0.4553,early,early,small,sev1,10.23,69.30,44.74,7.12,,,,4.05,21.93,1.56,0.00,,,0.65,0.95,0.45,0.30,0.74500,,,0,0,False,,,,,True,thesis_gate_triggered,,,False,0.4038,,,77,,68.00,,unknown,0,,,False,,35,,,,
219,DNTH,17.58,17.58,-0.0378,-0.4728,late,poc,mid,none,0,52.41,40.98,39.77,,,85,0.00,9.13,0.00,6.00,,11.08,0.85,0.95,0.30,0.80,0.77500,13.3522,13.3522,8,8,False,,,,,True,thesis_gate_triggered,,,False,0.5160,,,197,,59.00,,unknown,0,,,False,,64.0,,,,
220,NUVB,17.45,16.08,-0.0385,-0.4816,late,pivotal,small,none,7.54,58.89,35.36,6.61,,,79.35061363060977028667523462,2.55,12.08,1.30,0.99,,9.01,0.95,0.95,0.45,0.70,0.83000,2.6667,2.6667,6,6,False,,,,,True,thesis_gate_triggered,,,False,0.1452,,,197,,74.00,,unknown,0,,,False,,83.0,,,,
221,ABVX,17.37,17.37,-0.0685,-0.8563,late,poc,mid,sev2,56.80,0,68.59,60.50,,,85,20.77,0.00,4.16,6.00,,11.08,0.95,0.65,0.65,0.78,0.78000,13.1685,13.1685,8,8,True,strong,0.531,1.0531,1.0318,,,,,True,0.0248,,,197,,48.00,,unknown,0,,,False,,88.0,,,,
222,ARTV,17.36,17.36,-0.055,-0.6869,mid,poc,micro,sev1,10.92,14.62,51.90,87.36,,,77.32050807568877293527446342,4.07,2.81,2.29,6.00,,9.49,0.95,0.95,0.45,0.60,0.83000,2.61,2.61,2,2,False,,,,,True,thesis_gate_triggered,,,True,0.1278,,,51,,48.00,,unknown,0,,,False,,67.0,,,,
223,PEPG,17.24,16.72,-0.0392,-0.4904,mid,poc,small,none,0,46.87,42.08,23.18,,,85,0.00,9.02,0.00,3.73,,11.08,0.95,0.95,0.30,0.53,0.80500,5.5014,5.5014,7,7,False,,,,,True,thesis_gate_triggered,,,False,0.9484,,,51,,57.00,,unknown,0,,,False,,64.0,,,,
224,OLMA,17.17,16.65,-0.0407,-0.5082,late,poc,mid,none,13.84,46.92,58.36,6.61,,,57.09935677608942474373600505,5.16,7.65,3.61,1.10,,5.38,0.95,0.95,0.65,0.70,0.87500,6.2023,6.2023,3,3,False,,,,,True,thesis_gate_triggered,,,True,2.1103,,,197,,77.00,,unknown,0,,,False,,72.0,,,,
225,LEGN,17.12,15.75,-0.0399,-0.4993,mid,poc,mid,none,33.91,0,54.31,23.18,,,52.66029780203176931685358074,13.13,0.00,2.50,3.59,,5.98,0.95,0.65,0.45,0.53,0.74500,5.2764,5.2764,4,4,False,,,,,True,thesis_gate_triggered,,,False,-0.6388,,,108,,59.00,,unknown,2,,,False,,84.0,,,,
226,AZN,17.00,17.00,-0.0713,-0.8908,late,pivotal,large,sev2,79.35,0,43.53,96.71,,,74.56498887003338988870038955,24.84,0.00,1.46,6.00,,5.78,0.95,0.65,0.45,0.87,0.74000,5.1385,5.1385,4,4,False,,,,,,stage_pivotal_not_active,,,True,-0.0628,,,108,,38.00,,unknown,0,,,False,,88.0,,,,
227,KROS,16.98,16.98,-0.0414,-0.5172,mid,poc,small,none,1.72,80.00,34.16,0.00,,,71.94030290376779157552062608,0.58,14.81,1.49,0.00,,8.05,0.85,0.95,0.45,0.55,0.80000,4.1678,4.1678,4,4,False,,,,,True,thesis_gate_triggered,,,False,-0.0732,,,77,,68.00,,unknown,0,,,True,,53.0,,,,
228,TECX,16.96,16.96,-0.0421,-0.5262,mid,poc,small,none,0,67.97,44.82,23.18,,,58.94030290376779157552062608,0.00,14.74,0.00,4.20,,7.42,0.85,0.95,0.30,0.53,0.71500,3.5424,3.5424,4,4,False,,,,,True,thesis_gate_triggered,,,False,-0.2113,,,0,,91.00,,unknown,0,,,False,,35.0,,,,
229,SRRK,16.89,16.89,-0.0428,-0.5353,late,poc,mid,sev1,28.77,2.94,42.16,39.77,,,82.84312087985880303620630781,11.19,0.50,0.00,6.00,,10.80,0.95,0.95,0.30,0.80,0.80000,8.8017,8.8017,7,7,False,,,,,True,thesis_gate_triggered,,,False,0.1382,,,197,,84.00,,unknown,0,,,False,,82.0,,,,
