rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,company_stage,lead_program_stage,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,clinical_contrib,financial_contrib,catalyst_contrib,pos_contrib,momentum_contrib,smart_money_contrib,clinical_conf,financial_conf,catalyst_conf,pos_conf,confidence_overall,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,reinforce_pts,catalyst_mult,momentum_mult,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
37,DNA,53.61,56.29,0.0963,1.2034,late,poc,small,none,68.41,71.00,43.28,96.71,,,42.22834875689924811263065393,25.07,12.46,2.50,6.00,,4.12,0.95,0.95,0.65,0.87,0.87500,0.6667,0.6667,1,1,True,weak,0.1,1.01,1.006,,,,,True,-0.3971,,,197,,68.00,,unknown,0,,,False,,88.0,,,,
38,BIIB,53.42,53.42,0.0925,1.1561,late,poc,large,none,73.71,63.10,57.88,100.00,,,69.42833442831016775095870782,24.22,12.26,2.97,6.00,,6.60,0.95,0.95,0.65,0.84,0.87000,5.3985,5.3985,5,5,True,weak,0.195,1.0195,1.0117,,,,,True,-0.0737,,,77,,75.00,,unknown,0,,,True,,88.0,,,,
39,XNCR,53.40,53.40,0.1546,1.9326,mid,poc,small,none,69.54,70.90,53.00,23.18,,,77.44030290376779157552062608,25.82,12.60,3.11,3.44,,9.21,0.95,0.95,0.65,0.53,0.87000,5.0774,5.0774,4,4,False,,,,,True,thesis_gate_triggered,,,True,-0.0975,,,51,,77.00,,unknown,1,,,True,,82.0,,,,
40,ARDX,53.39,54.38,0.095,1.1873,late,poc,small,none,80.00,49.18,53.00,78.75,,,42.72834875689924811263065393,29.43,8.66,3.08,6.00,,3.85,0.95,0.95,0.65,0.92,0.87000,1.1439,1.1439,1,1,True,weak,0.111,1.0111,1.0067,,,,,True,0.1467,,,108,,53.00,,unknown,0,,,False,,86.0,,,,
41,SRPT,53.26,47.53,0.0913,1.1409,late,regulatory,mid,none,64.43,71.00,40.98,100.00,,,65.0,18.06,13.55,3.01,6.00,,7.38,0.95,0.95,0.65,0.95,0.87500,3.2394,3.2394,3,3,True,moderate,0.286,1.0286,1.0172,,,,,False,-0.2454,,,108,,75.00,,unknown,1,,,True,,88.0,,,,
42,HRMY,53.24,74.54,0.0901,1.1259,late,poc,mid,none,65.09,79.02,49.54,75.70,,,45.09935677608942474373600505,24.17,12.83,2.18,6.00,,4.25,0.95,0.95,0.45,0.84,0.83000,3.3474,3.3474,3,3,True,weak,0.233,1.0233,1.014,,,,,True,-0.0892,,,77,,66.00,,unknown,0,,,False,,80.0,,,,
43,DYN,53.21,53.21,0.0889,1.1113,early,early,mid,none,58.77,65.88,38.06,100.00,,,80.0,23.84,12.92,0.95,6.00,,8.18,0.95,0.95,0.45,0.50,0.83500,10.1546,10.1546,8,8,False,,,,,,stage_early_not_active,,,False,-0.2209,,,28,,59.00,,unknown,0,,,False,,64.0,,,,
44,ASMB,53.12,53.12,0.0877,1.0968,mid,poc,small,none,70.69,63.08,53.00,80.65,,,42.72834875689924811263065393,26.86,11.48,3.18,6.00,,3.85,0.95,0.95,0.65,0.61,0.87500,0.7565,0.7565,1,1,True,weak,0.102,1.0102,1.0061,,,,,True,-0.2334,,,51,,63.00,,unknown,0,,,False,,79.0,,,,
45,ANAB,53.07,53.07,0.0866,1.0826,mid,pivotal,small,none,64.94,56.25,50.77,75.86,,,85,24.05,12.61,0.00,6.00,,9.11,0.95,0.95,0.30,0.58,0.80500,10.0213,10.0213,5,5,False,,,,,,stage_pivotal_not_active,,,False,0.3011,,,51,,80.00,,unknown,0,,,False,,74.0,,,,
46,BBOT,52.70,52.70,0.0855,1.0686,early,early,small,none,64.62,63.89,41.53,69.49,,,72.0,24.12,14.35,1.03,6.00,,6.43,0.85,0.95,0.45,0.40,0.80000,6.2719,6.2719,4,4,False,,,,,,stage_early_not_active,,,False,-0.0386,,,28,,45.00,,unknown,0,,,False,,52.0,,,,
47,SLN,52.08,52.08,0.0844,1.0548,mid,poc,micro,none,77.59,48.81,42.08,23.18,,,49.5,32.61,10.60,0.00,3.90,,4.91,0.95,0.95,0.30,0.53,0.80500,0.8364,0.8364,1,1,True,weak,0.041,1.0041,1.0025,,,,,False,-0.3924,,,51,,47.00,,unknown,0,,,False,,78.0,,,,
48,JAZZ,51.47,51.47,0.0833,1.0412,late,poc,large,none,69.24,56.47,39.70,96.71,,,79.38433968419897295556050534,22.74,10.97,1.46,6.00,,7.99,0.95,0.95,0.45,0.87,0.83000,10.4714,10.4714,6,6,True,strong,0.501,1.0501,1.03,,,,,True,-0.0009,,,77,,57.00,,unknown,0,,,False,,88.0,,,,
49,BMRN,51.37,52.86,0.0822,1.0277,late,poc,large,none,70.06,57.13,40.98,100.00,,,49.51632391653255734175511277,24.89,12.01,0.00,6.00,,4.13,0.95,0.95,0.30,0.95,0.80500,3.2424,3.2424,3,3,True,moderate,0.271,1.0271,1.0163,,,,,False,-0.2119,,,77,,64.00,,unknown,1,,,True,,88.0,,,,
50,KYMR,51.04,50.99,0.0812,1.0145,mid,poc,mid,none,76.44,41.00,36.99,23.18,,,73.72123882797411388997115643,28.55,6.70,1.64,3.46,,8.82,0.95,0.95,0.45,0.53,0.83000,6.8274,6.8274,5,5,False,,,,,,no_catalyst_data,,,False,0.0690,,,51,,70.00,,unknown,2,,,True,,78.0,,,,
51,INCY,50.85,50.85,0.0801,1.0014,late,poc,large,none,63.93,58.79,54.56,96.71,,,52.51632391653255734175511277,21.21,11.54,2.83,6.00,,4.38,0.95,0.95,0.65,0.87,0.87000,4.1879,4.1879,3,3,True,weak,0.127,1.0127,1.0076,,,,,True,-0.1486,,,77,,61.00,,unknown,2,,,True,,88.0,,,,
52,CDNA,50.59,50.59,0.0791,0.9885,late,poc,small,none,68.74,52.15,42.68,96.71,,,60.20298485481161042122396869,24.99,9.08,2.45,6.00,,6.31,0.95,0.95,0.65,0.87,0.87500,2.5597,2.5597,3,3,True,weak,0.146,1.0146,1.0087,,,,,True,0.1937,,,77,,79.00,,unknown,0,,,False,,88.0,,,,
53,TRVI,50.42,47.90,0.0781,0.9758,mid,poc,small,none,80.00,27.32,53.15,98.85,,,77.44030290376779157552062608,29.38,4.81,3.08,6.00,,9.21,0.95,0.95,0.65,0.63,0.87000,4.894,4.894,4,4,True,weak,0.209,1.0209,1.0125,,,,,True,-0.1420,,,51,,67.00,,unknown,0,,,False,,75.0,,,,
54,ANRO,50.05,48.55,0.0771,0.9632,late,poc,small,none,62.94,59.74,53.00,72.94,,,54.46566680585542926692731131,23.08,10.49,3.07,6.00,,5.31,0.95,0.95,0.65,0.87,0.87500,1.3333,1.3333,2,2,True,weak,0.115,1.0115,1.0069,,,,,True,1.1037,,,197,,72.00,,unknown,0,,,False,,68.0,,,,
55,TARS,49.77,45.79,0.0761,0.9508,late,commercial,mid,none,75.37,49.74,31.94,68.52,,,83.0,21.25,12.22,0.82,6.00,,6.86,0.95,0.95,0.45,0.89,0.83500,13.257,13.257,8,8,False,,,,,,stage_commercial_not_active,,,False,-0.1911,,,108,,86.00,,unknown,0,,,False,,76.0,,,,
56,RYTM,49.73,49.73,0.0751,0.9385,late,poc,mid,none,78.36,30.57,54.54,78.75,,,85,27.40,4.67,3.16,6.00,,11.08,0.95,0.95,0.65,0.92,0.87500,15.9036,15.9036,9,9,True,strong,0.58,1.058,1.0348,,,,,True,-0.2550,,,197,,65.00,,unknown,0,,,True,,83.0,,,,
57,MNKD,49.24,49.24,0.0732,0.9144,late,poc,small,none,79.02,47.01,51.53,78.75,,,,32.27,9.20,2.38,6.00,,,0.95,0.95,0.45,0.92,0.83000,,,0,0,False,,,,,,below_threshold,,,True,-0.0162,,,77,,47.00,,unknown,0,,,False,,88.0,,,,
58,VRTX,48.71,48.71,0.0713,0.8908,late,poc,large,none,80.00,39.72,60.10,100.00,,,55.01632391653255734175511277,26.40,7.75,2.21,6.00,,4.91,0.95,0.95,0.45,0.95,0.83000,5.0393,5.0393,3,3,True,weak,0.241,1.0241,1.0145,,,,,True,-0.0726,,,77,,60.00,,unknown,2,,,True,,88.0,,,,
59,LAB,48.38,48.38,0.0703,0.8792,late,poc,small,none,72.72,51.84,43.28,96.71,,,42.72834875689924811263065393,26.88,9.18,2.53,6.00,,3.85,0.95,0.95,0.65,0.87,0.87000,0.6667,0.6667,1,1,True,weak,0.1,1.01,1.006,,,,,True,-0.0392,,,197,,61.00,,unknown,0,,,False,,88.0,,,,
60,CAI,47.93,47.93,0.0685,0.8563,late,poc,mid,none,71.73,47.68,43.28,96.71,,,56.59935677608942474373600505,25.89,7.53,2.59,6.00,,5.70,0.95,0.95,0.65,0.94,0.87500,4.8434,4.8434,3,3,True,weak,0.131,1.0131,1.0078,,,,,True,-0.3412,,,77,,41.00,,unknown,0,,,False,,88.0,,,,
61,UTHR,47.88,47.88,0.0667,0.8338,late,pivotal,large,none,65.42,55.47,43.28,90.08,,,85,19.21,12.19,1.36,6.00,,8.29,0.95,0.95,0.45,0.90,0.83000,10.5498,10.5498,7,7,False,,,,,,stage_pivotal_not_active,,,True,-0.0435,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
62,TVTX,47.86,47.86,0.0676,0.845,late,pivotal,mid,none,60.78,52.12,51.21,84.00,,,84.74417932624442780722529995,20.39,9.67,1.96,6.00,,8.05,0.95,0.95,0.45,0.95,0.83000,7.2549,7.2549,5,5,False,,,,,,stage_pivotal_not_active,,,True,-0.1086,,,108,,48.00,,unknown,0,,,False,,86.0,,,,
63,ALDX,47.72,47.72,0.0632,0.7901,late,pivotal,small,none,65.76,50.72,31.94,56.08,,,59.43916225881405541855930666,22.75,10.63,1.20,6.00,,5.21,0.95,0.95,0.45,0.78,0.83500,1.8496,1.8496,2,2,False,,,,,,stage_pivotal_not_active,,,False,-0.1539,,,197,,64.00,,unknown,0,,,False,,88.0,,,,
64,SIGA,47.71,47.71,0.0649,0.8118,late,commercial,small,none,63.43,62.44,31.94,68.52,,,,19.59,18.41,0.85,6.00,,,0.95,0.95,0.45,0.95,0.83500,,,0,0,False,,,,,,stage_commercial_not_active,,,False,-0.3841,,,77,,53.00,,unknown,0,,,True,,79.0,,,,
65,ANIP,47.59,47.59,0.0658,0.8227,late,poc,small,none,61.44,49.66,40.98,72.94,,,51.46566680585542926692731131,24.61,9.53,0.00,6.00,,5.02,0.95,0.95,0.30,0.87,0.80500,2.5548,2.5548,2,2,True,weak,0.244,1.0244,1.0147,,,,,False,-0.2406,,,77,,63.00,,unknown,0,,,False,,76.0,,,,
66,AXSM,47.53,47.53,0.0641,0.8009,late,poc,mid,none,75.04,25.50,22.42,90.08,,,85,26.61,3.95,1.32,6.00,,10.70,0.95,0.95,0.65,0.84,0.87500,9.6272,9.6272,7,7,True,moderate,0.42,1.042,1.0252,,,,,True,0.1795,,,108,,60.00,,unknown,0,,,True,,83.0,,,,
67,NVCR,47.50,47.50,0.0615,0.7688,late,poc,small,none,59.45,71.00,16.32,84.00,,,39.22834875689924811263065393,21.79,12.46,0.94,6.00,,3.82,0.95,0.95,0.65,0.87,0.87500,1.8485,1.8485,1,1,True,weak,0.214,1.0214,1.0129,,,,,True,-0.1900,,,108,,66.00,,unknown,0,,,False,,86.0,,,,
68,NBIX,47.40,47.40,0.0607,0.7583,late,poc,large,none,71.40,38.40,20.49,90.08,,,85,22.87,7.27,1.02,6.00,,9.98,0.95,0.95,0.65,0.84,0.87500,10.8186,10.8186,8,8,True,moderate,0.38,1.038,1.0228,,,,,True,-0.2597,,,77,,68.00,,unknown,1,,,True,,88.0,,,,
69,SPRY,47.33,43.54,0.0624,0.7794,late,poc,small,none,56.14,52.69,49.54,64.93,,,71.41493900168015388411394085,19.96,8.97,1.99,6.00,,9.31,0.95,0.95,0.45,0.90,0.83500,5.6858,5.6858,6,6,True,strong,0.548,1.0548,1.0329,,,,,True,-0.2934,,,197,,84.00,,unknown,0,,,False,,70.0,,,,
70,REGN,47.10,47.10,0.059,0.7375,late,poc,large,none,70.40,50.50,43.28,100.00,,,62.47232917242136254635691029,23.02,9.77,2.21,6.00,,5.57,0.95,0.95,0.65,0.95,0.87000,3.4214,3.4214,4,4,True,weak,0.117,1.0117,1.007,,,,,True,-0.0308,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
71,OCUL,46.78,46.78,0.0566,0.7069,late,poc,small,none,69.24,28.87,48.81,90.08,,,85,24.82,4.96,1.98,6.00,,10.11,0.95,0.95,0.45,0.95,0.83500,10.0631,10.0631,5,5,True,strong,0.85,1.085,1.051,,,,,False,-0.3291,,,197,,48.00,,unknown,0,,,False,,83.0,,,,
72,AVIR,46.75,46.75,0.055,0.6869,late,poc,small,none,54.48,67.91,40.98,60.50,,,42.46566680585542926692731131,22.06,13.17,0.00,6.00,,4.14,0.95,0.95,0.30,0.78,0.80000,1.1405,1.1405,2,2,True,moderate,0.267,1.0267,1.016,,,,,False,-0.0857,,,108,,73.00,,unknown,0,,,False,,83.0,,,,
