ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,valuation_raw_metric,valuation_mcap_mm,valuation_denom_trials_total,valuation_denom_trials_p1,valuation_denom_trials_p2,valuation_denom_trials_p3,valuation_denom_trials_reg,valuation_denom_trials_other,valuation_phase_weighted_trials,valuation_metric_pw,valuation_pct_overall,valuation_pct_in_size_bucket,valuation_size_bucket,valuation_applicable,valuation_notes,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos,pit_trials_total,pit_trials_eligible,pit_trials_filtered,pit_trials_no_date,clinical_lead_phase,clinical_lead_nct_id,clinical_recency_days,clinical_score_raw,catalyst_event_count_upcoming,catalyst_confidence_m3,catalyst_window_days_m3,catalyst_window_bucket_m3,catalyst_next_date,catalyst_top_event_type,catalyst_top_event_date
XNCR,11,63.54,2.046,0.1637,0.5714,-0.3531300078872183,3,0.6238,0.971,0.5714,0.5714,0.5645336743711276,-0.3531300078872183,-0.3531300078872183,-0.3531300078872183,live,live,live,0.9,1.00,neutral,def_missing_drawdown,alpha,False,,none,mid,small,True,42.98,60,-0.0975,50.00,35.90,3.00,80.00,7,Baker Bros Advisors; Deep Track Capital; EcoR1 Capital; Logos Global Management; RTW Investments,77.00,MEDIUM,HIGH,72.12,mcap_per_trial,0.8000,28.78,863.35264,33,25,8,0,0,0,20.5,42.11,0.8047,0.8565,small,True,valuation_mcap_per_trial,35.62,strong,Janssen,64.0,FT; ODD,100.0,highly_crowded,82.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.53,33,33,0,0,phase 2,NCT05297903,49,60.14,1,LOW,240,181_365,2026-10-01,CT_PRIMARY_COMPLETION,2026-10-01
TBPH,12,63.29,1.9861,0.1589,0.5264,-0.3281,2,0.3946,0.138,0.5264,0.5264,0.593903153999913,-0.3281,-0.3281,-0.3281,live,live,live,0.9,1.00,neutral,def_skip_vol_too_high; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,57.18,60,0.0998,50.00,50.00,0,65.71,3,Tang Capital Partners,75.00,LOW,MODERATE,90.00,ev_cfo,0.8000,2.76,959.735872,75,40,22,9,3,1,69.25,13.86,0.9545,0.9483,small,True,commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90,75,75,0,0,approved,NCT05165485,151,75.88,0,MED,,UNKNOWN,,,
VNDA,13,63.20,1.7602,0.1408,1.0382,-0.2145833373069763,2,0.2900,0.605,1.0382,1.0382,0.9513476175804386,-0.2145833373069763,-0.2145833373069763,-0.2145833373069763,live,live,live,0.9,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,83.80,60,0.4860,80.00,86.00,100.00,64.29,4,Krensavage Asset Management,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,14.85,445.588608,83,23,23,28,3,6,101.0,4.41,0.9297,0.9676,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84,83,83,0,0,approved,NCT02413918,11,74.94,9,HIGH,26,0_30,2026-03-01,CT_PRIMARY_COMPLETION,2026-03-01
ACRS,14,62.81,1.7244,0.138,1.5686,-0.2822085909073094,2,0.2760,0.43,1.5686,1.5686,1.6155934159788914,-0.2822085909073094,-0.2822085909073094,-0.2822085909073094,live,live,live,0.9,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,86.09,60,0.5373,50.00,36.96,6.52,80.00,6,Logos Global Management; Palo Alto Investors; Rock Springs Capital Management,49.00,LOW,LOW,90.00,mcap_per_trial,0.8000,12.68,380.291776,36,4,24,6,2,0,44.0,8.64,0.9453,0.9769,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.94,36,36,0,0,approved,NCT03380390,4,75.56,2,LOW,179,91_180,2026-08-01,CT_PRIMARY_COMPLETION,2026-08-01
MBX,15,62.80,1.6906,0.1352,0.9974,-0.1791045116034508,3,0.3023,,0.9974,0.9974,0.9574489189278819,-0.1791045116034508,-0.1791045116034508,-0.1791045116034508,live,live,missing,0.72,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,mid,small,True,92.75,60,0.7197,50.00,36.84,6.14,80.00,9,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Opaleye Management; Orbimed Advisors; RA Capital Management; Rock Springs Capital Management; Sectoral Asset Management,75.00,LOW,LOW,18.27,mcap_per_trial,0.8000,236.38,1654.649856,7,4,3,0,0,0,5.0,330.93,0.2682,0.0972,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.80500,0.95,0.95,0.30,0.58,7,7,0,0,phase 2,NCT07029412,48,59.76,1,LOW,116,91_180,2026-05-30,CT_PRIMARY_COMPLETION,2026-05-30
ESPR,16,62.64,1.9326,0.1546,0.7805,-0.1889951902143122,2,0.2681,1.043,0.7805,0.7805,0.7789140539098502,-0.1889951902143122,-0.1889951902143122,-0.1889951902143122,live,live,live,0.9,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,late,small,True,56.56,60,0.0911,83.33,69.69,37.86,65.71,5,Logos Global Management,50.00,MEDIUM,MODERATE,56.02,ev_revenue,0.8000,5.59,810.425088,26,3,12,7,2,2,34.0,23.84,0.5857,0.2692,small,True,commercial_revenue_threshold; valuation_ev_revenue,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.89,26,26,0,0,approved,NCT06021951,140,76.54,2,HIGH,25,0_30,2026-02-28,CT_PRIMARY_COMPLETION,2026-02-28
CHRS,17,62.54,1.6587,0.1327,0.9928,-0.1743118937956084,2,0.2299,0.964,0.9928,0.9928,1.059722397777583,-0.1743118937956084,-0.1743118937956084,-0.1743118937956084,live,live,live,0.9,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,micro,True,92.70,60,0.7180,50.00,50.00,0,64.30,2,Tang Capital Partners,76.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,10.04,261.081408,26,12,8,4,1,1,25.25,10.34,0.9661,0.8088,micro,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87,26,26,0,0,approved,NCT06457503,4,72.69,0,MED,,UNKNOWN,,,
CTNM,18,62.41,1.7985,0.1439,0.783,-0.045515379592915906,3,0.0801,,0.783,0.783,0.7916892345113277,-0.045515379592915906,-0.045515379592915906,-0.045515379592915906,live,live,missing,0.72,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,mid,small,True,74.82,60,0.3278,84.32,64.06,16.79,80.00,9,Baker Bros Advisors; Casdin Capital; Perceptive Advisors; RA Capital Management; Samsara BioCapital; Sectoral Asset Management; Suvretta Capital Management,49.00,LOW,LOW,50.96,mcap_per_trial,0.8000,65.11,520.909952,8,6,2,0,0,0,5.0,104.18,0.5599,0.5324,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.50,8,8,0,0,phase 2,NCT07284459,42,62.92,1,MED,12,0_30,2026-02-15,CT_STUDY_COMPLETION,2026-02-15
CGEM,19,61.56,1.5454,0.1236,1.1117,-0.10277569106174249,1,0.4931,-0.089,1.1117,1.1117,1.0364255585460063,-0.10277569106174249,-0.10277569106174249,-0.10277569106174249,live,live,live,0.9,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,70.44,60,0.2689,80.00,72.67,55.57,61.00,1,RTW Investments,59.00,MEDIUM,MODERATE,51.79,mcap_per_trial,0.8000,70.66,706.552064,10,10,0,0,0,0,5.0,141.31,0.5339,0.4861,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,74.0,diversified,0.87500,0.95,0.95,0.65,0.40,10,10,0,0,phase 1,NCT05879744,18,46.42,4,HIGH,26,0_30,2026-03-01,CT_PRIMARY_COMPLETION,2026-03-01
CATX,20,61.55,1.6284,0.1303,0.7923,-0.38474026593295013,1,0.2582,1.194,0.7923,0.7923,1.5847730316870055,-0.38474026593295013,-0.38474026593295013,-0.38474026593295013,live,live,live,0.9,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,early,micro,True,24.39,60,-0.3393,56.20,44.88,18.45,72.00,2,Ghost Tree Capital; Rock Springs Capital Management,65.00,MEDIUM,MODERATE,62.50,mcap_per_trial,0.8000,46.96,281.740992,6,6,0,0,0,0,3.0,93.91,0.6536,0.1029,micro,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.40,6,6,0,0,phase 1,NCT06710756,18,48.47,2,MED,86,31_90,2026-04-30,CT_PRIMARY_COMPLETION,2026-04-30
GLUE,21,61.40,1.5199,0.1216,1.2054,-0.20372524416904647,1,0.3288,1.605,1.2054,1.2054,1.2172922586574986,-0.20372524416904647,-0.20372524416904647,-0.20372524416904647,live,live,live,0.9,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,96.55,60,1.5895,80.00,65.00,30.01,80.00,6,Baker Bros Advisors; Casdin Capital; Suvretta Capital Management,75.00,LOW,LOW,26.62,ev_cfo,0.8000,48.73,1564.501504,3,3,0,0,0,0,1.5,1043.0,0.2662,0.1897,small,True,commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,100.0,highly_crowded,55.0,concentrated,0.80500,0.95,0.85,0.45,0.40,3,3,0,0,phase 1,NCT07119125,104,47.78,2,MED,26,0_30,2026-03-01,CT_PRIMARY_COMPLETION,2026-05-01
ALT,22,61.13,1.4955,0.1196,0.8891,-0.2755498182881542,2,0.3525,0.03,0.8891,0.8891,0.9927984531722696,-0.2755498182881542,-0.2755498182881542,-0.2755498182881542,live,live,live,0.9,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,73.31,60,0.3068,55.90,44.85,19.07,50.00,2,,47.00,MEDIUM,LOW,81.34,mcap_per_trial,0.8000,36.91,701.296512,19,10,7,0,1,1,15.25,45.99,0.737,0.7731,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92,19,19,0,0,approved,NCT03163342,39,75.04,2,MED,87,31_90,2026-05-01,CT_PRIMARY_COMPLETION,2026-05-01
ENTA,23,61.04,1.5995,0.128,0.5086,-0.24781343332184988,3,0.2510,0.96,0.5086,0.5086,0.5105258152010373,-0.24781343332184988,-0.24781343332184988,-0.24781343332184988,live,live,live,0.9,1.00,neutral,def_skip_not_elite_vol; def_missing_drawdown,alpha,False,,none,mid,small,True,54.63,60,0.0642,50.00,50.00,0,64.29,4,Krensavage Asset Management,61.00,LOW,LOW,90.00,mcap_per_trial,0.8000,12.48,374.338912,43,32,11,0,0,0,27.0,13.86,0.9505,0.9861,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.61,43,43,0,0,phase 2,NCT03421431,119,64.24,0,MED,,UNKNOWN,,,
ELVN,24,60.99,1.4055,0.1124,1.2673,-0.11774513799401425,1,0.2578,1.2,1.2673,1.2673,1.2212817780425542,-0.11774513799401425,-0.11774513799401425,-0.11774513799401425,live,live,live,0.9,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,early,small,True,63.04,60,0.1716,50.00,36.53,5.10,80.00,8,Baker Bros Advisors; Boxer Capital; Cormorant Asset Management; Logos Global Management; Orbimed Advisors; RA Capital Management; Rock Springs Capital Management,63.00,MEDIUM,MODERATE,16.07,mcap_per_trial,0.8000,392.43,1569.736576,4,4,0,0,0,0,2.0,784.87,0.1589,0.0231,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,50.0,focused,0.80500,0.95,0.95,0.30,0.40,4,4,0,0,phase 1,NCT06328738,25,45.83,1,LOW,148,91_180,2026-07-01,CT_PRIMARY_COMPLETION,2026-07-01
QURE,25,60.80,1.8396,0.1472,1.3016,-0.6822377718411959,3,0.1181,0.679,1.3016,1.3016,0.8380626221489474,-0.6822377718411959,-0.6822377718411959,-0.6822377718411959,live,live,live,0.9,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_missing_drawdown,alpha,False,,none,mid,small,True,26.57,60,-0.3084,50.00,35.91,3.02,80.00,5,EcoR1 Capital; Perceptive Advisors; RA Capital Management; RTW Investments; Sofinnova Investments,48.00,MEDIUM,LOW,37.50,mcap_per_trial,0.8000,128.66,1415.26656,11,7,1,0,0,3,5.25,269.57,0.4089,0.2824,small,True,valuation_mcap_per_trial,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.80500,0.95,0.95,0.30,0.63,11,11,0,0,phase 2,NCT02904772,55,60.68,1,LOW,239,181_365,2026-09-30,CT_PRIMARY_COMPLETION,2026-09-30
DNA,26,60.35,1.2535,0.1003,0.7795,-0.48976107696081855,2,0.4301,1.558,0.7795,0.7795,0.754213642698102,-0.48976107696081855,-0.48976107696081855,-0.48976107696081855,live,live,live,0.9,1.0500,neutral,def_mult_momentum_bonus_1.05; def_missing_drawdown,alpha,False,,none,late,small,True,20.81,60,-0.3971,50.00,65.00,100.00,64.29,5,Casdin Capital,68.00,LOW,MODERATE,90.00,mcap_per_trial,0.8000,18.12,543.494272,1000,143,162,65,37,593,622.75,0.87,0.888,0.9306,small,True,valuation_mcap_per_trial,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87,1000,1000,0,0,approved,NCT06902740,4,73.24,98,MED,4,0_30,2026-02-07,CT_PRIMARY_COMPLETION,2026-03-01
BMRN,27,59.77,1.2887,0.1031,0.4294,-0.1740,2,0.4452,0.7339,0.4294,0.4294,0.4554508069617513,-0.1740,-0.1740,-0.1740,live,live,live,0.9,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,large,True,33.90,60,-0.2119,50.00,39.01,13.35,65.71,4,Sectoral Asset Management,64.00,LOW,LOW,73.38,ev_cfo,0.8000,13.71,10862.144512,172,28,36,29,9,70,152.5,71.23,0.7338,0.9722,large,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,43.75,strong,Sarepta,71.0,BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.95,172,172,0,0,approved,NCT00299000,14,73.74,3,LOW,118,91_180,2026-06-01,CT_PRIMARY_COMPLETION,2026-08-01
AMGN,28,59.40,1.3847,0.1108,0.2777,-0.2206,2,0.4389,0.45,0.2777,0.2777,0.29718505641075593,-0.2206,-0.2206,-0.2206,live,live,live,0.9,1.00,neutral,,alpha,False,,none,late,large,True,44.43,60,-0.0773,50.00,65.00,100.00,61.43,5,Sectoral Asset Management,61.00,LOW,LOW,48.70,ev_cfo,0.8000,27.44,184095.768576,1000,261,313,226,70,130,1138.0,161.77,0.487,0.4722,large,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,75.8,BTD; FT; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87,1000,1000,0,0,approved,NCT04539223,4,74.59,38,HIGH,3,0_30,2026-02-06,CT_PRIMARY_COMPLETION,2026-02-28
IRWD,29,58.94,2.4164,0.1933,1.2561,-0.7582,2,0.2723,0.188,1.2561,1.2561,1.2222758781683192,-0.7582,-0.7582,-0.7582,live,live,live,0.9,0.87455200,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_rsi_overbought_0.98; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,late,small,True,96.55,60,2.1626,50.00,36.82,6.07,50.00,3,,48.00,LOW,LOW,51.30,ev_cfo,0.8000,23.89,795.498496,42,3,18,15,3,3,59.25,13.43,0.513,0.431,small,True,commercial_revenue_threshold; commercial_cfo_positive; valuation_ev_cfo,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.80500,0.95,0.95,0.30,0.92,42,42,0,0,approved,NCT03226899,14,75.99,1,LOW,118,91_180,2026-06-01,CT_PRIMARY_COMPLETION,2026-06-01
