rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
59,UTHR,47.88,47.88,0.0667,0.8338,late,large,none,,,,,,,,0.83000,0.95,0.45,10.5498,10.5498,7,7,False,,,stage_pivotal_not_active,,,True,-0.0435,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
60,TVTX,47.86,47.86,0.0676,0.845,late,mid,none,,,,,,,,0.83000,0.95,0.45,7.2549,7.2549,5,5,False,,,stage_pivotal_not_active,,,True,-0.1086,,,108,,48.00,,unknown,0,,,False,,86.0,,,,
61,ALDX,47.72,47.72,0.0632,0.7901,late,small,none,,,,,,,,0.83500,0.95,0.45,1.8496,1.8496,2,2,False,,,stage_pivotal_not_active,,,False,-0.1539,,,197,,64.00,,unknown,0,,,False,,88.0,,,,
62,SIGA,47.71,47.71,0.0649,0.8118,late,small,none,,,,,,,,0.83500,0.95,0.45,,,0,0,False,,,stage_commercial_not_active,,,False,-0.3841,,,77,,53.00,,unknown,0,,,True,,79.0,,,,
63,ANIP,47.59,47.59,0.0658,0.8227,late,small,none,,,,,,,,0.80500,0.95,0.30,2.5548,2.5548,2,2,True,weak,,,,,False,-0.2406,,,77,,63.00,,unknown,0,,,False,,76.0,,,,
64,AXSM,47.53,47.53,0.0641,0.8009,late,mid,none,,,,,,,,0.87500,0.95,0.65,9.6272,9.6272,7,7,True,moderate,,,,,True,0.1795,,,108,,60.00,,unknown,0,,,True,,83.0,,,,
65,NVCR,47.50,47.50,0.0615,0.7688,late,small,none,,,,,,,,0.87500,0.95,0.65,1.8485,1.8485,1,1,True,weak,,,,,True,-0.1900,,,108,,66.00,,unknown,0,,,False,,86.0,,,,
66,NBIX,47.40,47.40,0.0607,0.7583,late,large,none,,,,,,,,0.87500,0.95,0.65,10.8186,10.8186,8,8,True,moderate,,,,,True,-0.2597,,,77,,68.00,,unknown,1,,,True,,88.0,,,,
67,SPRY,47.33,43.54,0.0624,0.7794,late,small,none,,,,,,,,0.83500,0.95,0.45,5.6858,5.6858,6,6,True,strong,,,,,True,-0.2934,,,197,,84.00,,unknown,0,,,False,,70.0,,,,
68,REGN,47.10,47.10,0.059,0.7375,late,large,none,,,,,,,,0.87000,0.95,0.65,3.4214,3.4214,4,4,True,weak,,,,,True,-0.0308,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
69,OCUL,46.78,46.78,0.0566,0.7069,late,small,none,,,,,,,,0.83500,0.95,0.45,10.0631,10.0631,5,5,True,strong,,,,,False,-0.3291,,,197,,48.00,,unknown,0,,,False,,83.0,,,,
70,AVIR,46.75,46.75,0.055,0.6869,late,small,none,,,,,,,,0.80000,0.95,0.30,1.1405,1.1405,2,2,True,moderate,,,,,False,-0.0857,,,108,,73.00,,unknown,0,,,False,,83.0,,,,
71,INDV,46.67,46.67,0.0582,0.7272,late,mid,none,,,,,,,,0.83000,0.95,0.45,1.7105,1.7105,1,1,False,,,stage_commercial_not_active,,,False,-0.0200,,,77,,48.00,,unknown,0,,,False,,83.0,,,,
72,DVAX,46.52,45.59,0.0558,0.6969,late,small,none,,,,,,,,0.80000,0.95,0.30,2.5208,2.5208,2,2,True,moderate,,,,,False,0.1388,,,77,,75.00,,unknown,0,,,False,,86.0,,,,
73,GH,45.96,45.96,0.0542,0.677,late,large,none,,,,,,,,0.87500,0.95,0.65,5.0527,5.0527,3,3,True,weak,,,,,True,0.2891,,,108,,61.00,,unknown,0,,,False,,88.0,,,,
74,MIRM,45.88,45.88,0.0534,0.6671,late,mid,none,,,,,,,,0.80500,0.95,0.30,6.1468,6.1468,3,3,True,moderate,,,,,False,0.1959,,,77,,71.00,,unknown,1,,,False,,83.0,,,,
155,SEPN,28.71,45.81,0.0518,0.6476,early,small,none,,,,,,,,0.84500,0.85,0.65,6.9963,6.9963,5,5,True,moderate,,,,,True,0.1612,,,77,,49.00,,unknown,0,,,False,,35.0,,,,
75,FHTX,45.50,44.14,0.0503,0.6283,early,small,none,,,,,,,,0.83000,0.95,0.45,0.5333,0.5333,1,1,False,,,stage_early_not_active,,,False,0.0544,,,28,,61.00,,unknown,0,,,False,,63.0,,,,
76,IONS,45.25,45.25,0.0741,0.9264,late,large,none,,,,,,,,0.87000,0.95,0.65,,,0,0,False,,True,thesis_gate_triggered,,,True,0.1263,,,108,,79.00,,unknown,3,,,True,,88.0,,,,
77,TRDA,44.97,44.97,0.048,0.5999,early,small,none,,,,,,,,0.80500,0.85,0.45,0.4,0.4,1,1,False,,,stage_early_not_active,,,False,0.4166,,,28,,60.00,,unknown,0,,,False,,64.0,,,,
78,TEM,44.83,44.83,0.0487,0.6093,late,mid,none,,,,,,,,0.87500,0.95,0.65,3.6092,3.6092,4,4,True,weak,,,,,True,-0.3026,,,108,,50.00,,unknown,0,,,False,,88.0,,,,
79,INVA,44.31,44.31,0.0465,0.5812,late,small,none,,,,,,,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,,,False,-0.1764,,,77,,63.00,,unknown,0,,,False,,75.0,,,,
156,JBIO,28.71,44.01,0.0435,0.5443,early,small,none,,,,,,,,0.71500,0.85,0.30,6.5587,6.5587,10,10,True,weak,,,,,False,0.4461,,,0,,48.00,,unknown,0,,,False,,35.0,,,,
80,GILD,43.82,43.82,0.0443,0.5535,late,large,none,,,,,,,,0.87000,0.95,0.65,3.9012,3.9012,2,2,True,weak,,,,,True,-0.0705,,,77,,57.00,,unknown,2,,,False,,88.0,,,,
81,GPCR,43.17,43.17,0.0428,0.5353,mid,mid,none,,,,,,,,0.80500,0.95,0.30,14.4168,14.4168,9,9,True,strong,,,,,False,2.0283,,,51,,57.00,,unknown,0,,,False,,67.0,,,,
82,CABA,42.91,42.91,0.0407,0.5082,early,micro,sev1,,,,,,,,0.83000,0.95,0.45,3.5223,3.5223,3,3,False,,,stage_early_not_active,,,False,0.1207,,,28,,73.00,,unknown,0,,,False,,66.0,,,,
83,HALO,42.70,42.70,0.0421,0.5262,late,mid,none,,,,,,,,0.80000,0.95,0.30,,,0,0,False,,,below_threshold,,,False,-0.1434,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
84,APLS,42.69,42.69,0.0722,0.9025,late,mid,none,,,,,,,,0.83500,0.95,0.45,8.9016,8.9016,6,6,False,,True,thesis_gate_triggered,,,False,-0.2872,,,77,,66.00,,unknown,1,,,True,,86.0,,,,
85,SYRE,42.32,42.32,0.0399,0.4993,mid,mid,none,,,,,,,,0.87500,0.95,0.65,5.686,5.686,6,6,True,weak,,,,,True,0.3086,,,51,,81.00,,unknown,0,,,False,,67.0,,,,
86,KNSA,42.27,42.27,0.0392,0.4904,late,mid,none,,,,,,,,0.87000,0.95,0.65,3.6745,3.6745,2,2,True,weak,,,,,True,-0.0470,,,77,,58.00,,unknown,0,,,False,,88.0,,,,
87,NTRA,41.85,41.85,0.0364,0.4553,late,large,none,,,,,,,,0.83000,0.95,0.45,6.5642,6.5642,5,5,True,moderate,,,,,True,0.0345,,,77,,60.00,,unknown,0,,,False,,88.0,,,,
88,ONC,41.52,41.52,0.0343,0.4293,late,large,none,,,,,,,,0.83000,0.95,0.45,4.3074,4.3074,2,2,True,moderate,,,,,True,-0.1368,,,77,,53.00,,unknown,0,,,False,,86.0,,,,
89,AMRX,41.47,41.47,0.035,0.4379,late,mid,none,,,,,,,,0.80000,0.95,0.30,,,0,0,False,,,below_threshold,,,False,0.1223,,,77,,41.00,,unknown,0,,,False,,88.0,,,,
