rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
29,VNDA,53.01,53.99,0.1046,1.307,late,small,none,74.62,59.58,54.87,87.56,,,38.97943406368360030360296275,0.87500,0.95,0.65,0.7022,0.7022,1,1,True,weak,,,,,True,0.4860,,,201,,75.00,,unknown,0,,,False,,88.0,,,,
30,NKTX,52.77,52.77,0.1003,1.2535,early,micro,none,63.16,58.47,38.16,67.54,,,66.5,0.83000,0.95,0.45,2.9818,2.9818,3,3,False,,,stage_early_not_active,,,False,0.0217,,,28,,86.00,,unknown,0,,,False,,66.0,,,,
31,ACAD,52.50,52.50,0.0989,1.2364,late,mid,none,65.67,63.58,52.48,87.56,,,71.0,0.87000,0.95,0.65,8.8081,8.8081,7,7,True,strong,,,,,True,-0.1499,,,77,,61.00,,unknown,1,,,False,,83.0,,,,
32,HRTX,52.47,52.47,0.1017,1.2709,late,micro,none,69.85,61.23,34.98,70.15,,,58.0,0.83500,0.95,0.45,1.175,1.175,2,2,False,,,stage_commercial_not_active,,,False,-0.1520,,,201,,80.00,,unknown,0,,,False,,86.0,,,,
33,DYN,52.32,52.32,0.0925,1.1561,early,mid,none,57.90,63.84,38.16,93.86,,,80.0,0.83500,0.95,0.45,9.9431,9.9431,8,8,False,,,stage_early_not_active,,,False,-0.2209,,,28,,59.00,,unknown,0,,,False,,64.0,,,,
34,AMGN,52.28,52.28,0.0976,1.2197,late,large,none,73.14,65.97,43.65,93.53,,,34.09696016958067875627088263,0.87000,0.95,0.65,1.4017,1.4017,1,1,True,weak,,,,,True,-0.0773,,,77,,61.00,,unknown,0,,,False,,88.0,,,,
35,SRPT,52.22,46.60,0.0937,1.1715,late,mid,none,62.98,68.45,42.30,95.00,,,65.0,0.87500,0.95,0.65,3.1719,3.1719,3,3,True,moderate,,,,,False,-0.2454,,,108,,75.00,,unknown,1,,,False,,88.0,,,,
36,BIIB,52.17,52.17,0.095,1.1873,late,large,none,71.34,61.79,54.72,95.00,,,68.86084391824351610281821799,0.87000,0.95,0.65,5.286,5.286,5,5,True,weak,,,,,True,-0.0737,,,77,,75.00,,unknown,0,,,False,,88.0,,,,
37,SUPN,52.12,52.12,0.0963,1.2034,late,mid,none,74.03,61.49,42.30,87.56,,,37.92507864111469541539778682,0.80500,0.95,0.30,1.4303,1.4303,2,2,True,weak,,,,,False,-0.2354,,,77,,77.00,,unknown,0,,,False,,83.0,,,,
38,XNCR,52.01,52.01,0.1589,1.9861,mid,small,none,67.59,68.36,42.95,25.86,,,77.76562811682955107881813921,0.80000,0.95,0.30,4.9716,4.9716,4,4,True,weak,,,,,False,-0.0975,,,52,,77.00,,unknown,1,,,False,,82.0,,,,
39,DNA,51.95,54.55,0.0913,1.1409,late,small,none,66.57,68.45,43.65,93.53,,,46.78846711598273721189900519,0.83500,0.95,0.45,0.6528,0.6528,1,1,False,,,stage_pivotal_not_active,,,True,-0.3971,,,201,,68.00,,unknown,0,,,False,,88.0,,,,
40,HRMY,51.86,72.60,0.0901,1.1259,late,mid,none,63.58,76.12,50.81,72.39,,,43.25812631029911623622462983,0.83000,0.95,0.45,3.2777,3.2777,3,3,True,weak,,,,,True,-0.0892,,,77,,66.00,,unknown,0,,,False,,80.0,,,,
41,ANAB,51.53,51.53,0.0877,1.0968,mid,small,none,63.45,55.17,50.74,73.28,,,85,0.80500,0.95,0.30,9.8125,9.8125,5,5,False,,,stage_pivotal_not_active,,,False,0.3011,,,52,,80.00,,unknown,0,,,False,,74.0,,,,
42,ARDX,51.51,52.46,0.0889,1.1113,late,small,none,77.00,48.36,42.30,74.88,,,41.97943406368360030360296275,0.80000,0.95,0.30,1.1201,1.1201,1,1,True,moderate,,,,,False,0.1467,,,108,,53.00,,unknown,0,,,False,,86.0,,,,
43,BBOT,51.45,51.45,0.0866,1.0826,early,small,none,63.16,62.05,39.56,67.54,,,72.0,0.80000,0.85,0.45,6.1412,6.1412,4,4,False,,,stage_early_not_active,,,False,-0.0386,,,28,,45.00,,unknown,0,,,False,,52.0,,,,
44,ASMB,50.81,50.81,0.0833,1.0412,mid,small,none,68.62,61.33,36.21,77.59,,,41.97943406368360030360296275,0.83500,0.95,0.45,0.7407,0.7407,1,1,False,,,no_catalyst_data,,,False,-0.2334,,,52,,63.00,,unknown,0,,,False,,79.0,,,,
45,CDNA,50.58,50.58,0.0844,1.0548,late,small,none,66.87,51.94,57.96,93.53,,,60.17023009911423415374641373,0.87500,0.95,0.65,2.5063,2.5063,3,3,True,weak,,,,,True,0.1937,,,77,,79.00,,unknown,0,,,False,,88.0,,,,
46,JAZZ,50.57,50.57,0.0855,1.0686,late,large,none,67.32,55.82,38.78,93.53,,,79.05181485540922543945505183,0.83000,0.95,0.45,10.2532,10.2532,6,6,True,moderate,,,,,True,-0.0009,,,77,,57.00,,unknown,0,,,False,,88.0,,,,
47,KYMR,50.36,50.31,0.0822,1.0277,mid,mid,none,73.80,41.25,36.82,25.86,,,71.42422164866795787787831586,0.83000,0.95,0.45,6.6852,6.6852,5,5,False,,,no_catalyst_data,,,False,0.0690,,,52,,70.00,,unknown,2,,,False,,78.0,,,,
48,INCY,50.11,50.11,0.0812,1.0145,late,large,none,62.54,57.91,54.44,93.53,,,51.47890204391209742954455031,0.87000,0.95,0.65,4.1006,4.1006,3,3,True,weak,,,,,True,-0.1486,,,77,,61.00,,unknown,2,,,False,,88.0,,,,
49,SLN,49.95,49.95,0.0791,0.9885,mid,micro,none,74.83,48.05,42.95,25.86,,,49.5,0.80500,0.95,0.30,0.819,0.819,1,1,True,weak,,,,,False,-0.3924,,,52,,47.00,,unknown,0,,,False,,78.0,,,,
50,BMRN,49.85,49.85,0.0801,1.0014,late,large,none,68.06,56.42,42.30,95.00,,,48.47890204391209742954455031,0.80500,0.95,0.30,3.1748,3.1748,3,3,True,moderate,,,,,False,-0.2119,,,77,,64.00,,unknown,1,,,False,,88.0,,,,
51,RYTM,49.46,49.46,0.0781,0.9758,late,mid,none,75.52,32.66,54.87,74.88,,,85,0.87500,0.95,0.65,15.5722,15.5722,9,9,True,strong,,,,,True,-0.2550,,,201,,65.00,,unknown,0,,,False,,83.0,,,,
52,TRVI,49.26,46.80,0.0761,0.9508,mid,small,none,77.00,30.09,36.21,93.97,,,77.76562811682955107881813921,0.83000,0.95,0.45,4.792,4.792,4,4,False,,,no_catalyst_data,,,False,-0.1420,,,52,,67.00,,unknown,0,,,False,,75.0,,,,
53,TARS,48.93,45.02,0.0751,0.9385,late,mid,none,72.84,48.87,34.98,66.42,,,83.0,0.83500,0.95,0.45,12.9808,12.9808,8,8,False,,,stage_commercial_not_active,,,False,-0.1911,,,108,,86.00,,unknown,0,,,False,,76.0,,,,
54,IONS,48.75,48.75,0.0732,0.9144,late,large,none,58.81,58.57,60.28,55.97,,,,0.87000,0.95,0.65,,,0,0,False,,,below_threshold,,,True,0.1263,,,108,,79.00,,unknown,3,,,True,,88.0,,,,
55,VRTX,48.74,48.74,0.0741,0.9264,late,large,none,77.00,41.01,61.59,77.61,,,53.97890204391209742954455031,0.87000,0.95,0.65,4.9343,4.9343,3,3,True,weak,,,,,True,-0.0726,,,77,,60.00,,unknown,2,,,True,,88.0,,,,
56,UTHR,48.59,48.59,0.0722,0.9025,late,large,none,63.88,54.93,40.39,87.56,,,85,0.83000,0.95,0.45,10.33,10.33,7,7,True,strong,,,,,True,-0.0435,,,77,,68.00,,unknown,0,,,False,,88.0,,,,
57,ANRO,48.44,46.99,0.0703,0.8792,late,small,none,61.64,58.31,56.38,70.15,,,59.29265157857066813316711989,0.83500,0.95,0.45,1.3056,1.3056,2,2,False,,,stage_pivotal_not_active,,,True,1.1037,,,201,,72.00,,unknown,0,,,False,,68.0,,,,
58,MNKD,48.32,48.32,0.0713,0.8908,late,small,none,76.12,47.33,51.30,74.88,,,,0.83000,0.95,0.45,,,0,0,False,,,below_threshold,,,True,-0.0162,,,77,,47.00,,unknown,0,,,False,,88.0,,,,
59,TVTX,47.90,47.90,0.0685,0.8563,late,mid,none,59.70,51.46,50.81,82.09,,,77.92422164866795787787831586,0.83000,0.95,0.45,7.1037,7.1037,5,5,True,moderate,,,,,True,-0.1086,,,108,,48.00,,unknown,0,,,False,,86.0,,,,
60,AXSM,47.88,47.88,0.0694,0.8677,late,mid,none,72.54,28.67,30.37,87.56,,,83.09031698703679951953200188,0.87500,0.95,0.65,9.4267,9.4267,7,7,True,moderate,,,,,True,0.1795,,,108,,60.00,,unknown,0,,,False,,83.0,,,,
61,NBIX,47.65,47.65,0.0676,0.845,late,large,none,69.25,39.89,29.06,87.56,,,85,0.87500,0.95,0.65,10.5932,10.5932,8,8,True,moderate,,,,,True,-0.2597,,,77,,68.00,,unknown,1,,,False,,88.0,,,,
62,LAB,47.44,47.44,0.0667,0.8338,late,small,none,70.45,51.21,43.62,93.53,,,41.97943406368360030360296275,0.87000,0.95,0.65,0.6528,0.6528,1,1,True,weak,,,,,True,-0.0392,,,201,,61.00,,unknown,0,,,False,,88.0,,,,
63,CAI,47.19,47.19,0.0649,0.8118,late,mid,none,69.55,47.93,43.65,93.53,,,54.75812631029911623622462983,0.87500,0.95,0.65,4.7425,4.7425,3,3,True,weak,,,,,True,-0.3412,,,77,,41.00,,unknown,0,,,False,,88.0,,,,
64,NVCR,47.11,47.11,0.0632,0.7901,late,small,none,58.51,68.45,28.29,82.09,,,38.47943406368360030360296275,0.87500,0.95,0.65,1.81,1.81,1,1,True,weak,,,,,True,-0.1900,,,108,,66.00,,unknown,0,,,False,,86.0,,,,
65,SPRY,47.09,43.32,0.0641,0.8009,late,small,none,55.52,51.97,50.81,63.43,,,72.45642415226018492896159018,0.83500,0.95,0.45,5.5673,5.5673,6,6,True,strong,,,,,True,-0.2934,,,201,,84.00,,unknown,0,,,False,,70.0,,,,
66,ALDX,46.95,46.95,0.0624,0.7794,late,small,none,64.18,50.19,34.98,53.48,,,59.29265157857066813316711989,0.83500,0.95,0.45,1.8111,1.8111,2,2,False,,,stage_pivotal_not_active,,,False,-0.1539,,,201,,64.00,,unknown,0,,,False,,88.0,,,,
67,OCUL,46.88,46.88,0.0598,0.7479,late,small,none,67.32,31.31,49.94,87.56,,,85,0.83500,0.95,0.45,9.8535,9.8535,5,5,True,strong,,,,,False,-0.3291,,,201,,48.00,,unknown,0,,,False,,83.0,,,,
68,SIGA,46.78,46.78,0.0615,0.7688,late,small,none,62.09,61.20,34.98,77.61,,,,0.83500,0.95,0.45,,,0,0,False,,,stage_commercial_not_active,,,False,-0.3841,,,77,,53.00,,unknown,0,,,True,,79.0,,,,
69,ANIP,46.43,46.43,0.059,0.7375,late,small,none,60.30,49.70,42.30,70.15,,,51.07483208139891722867468824,0.80500,0.95,0.30,2.5016,2.5016,2,2,True,moderate,,,,,False,-0.2406,,,77,,63.00,,unknown,0,,,False,,76.0,,,,
70,REGN,46.34,46.34,0.0574,0.717,late,large,none,68.36,50.45,40.39,77.61,,,61.66987298107780676618138415,0.87000,0.95,0.65,3.3501,3.3501,4,4,True,weak,,,,,True,-0.0308,,,77,,68.00,,unknown,0,,,True,,88.0,,,,
71,INDV,46.23,46.23,0.0582,0.7272,late,mid,none,77.00,45.00,34.98,87.56,,,52.5,0.83000,0.95,0.45,1.6749,1.6749,1,1,False,,,stage_commercial_not_active,,,False,-0.0200,,,77,,48.00,,unknown,0,,,False,,83.0,,,,
72,AVIR,45.48,45.48,0.0534,0.6671,late,small,none,54.03,65.67,42.30,58.46,,,42.07483208139891722867468824,0.80000,0.95,0.30,1.1168,1.1168,2,2,True,moderate,,,,,False,-0.0857,,,108,,73.00,,unknown,0,,,False,,83.0,,,,
157,SEPN,29.41,45.42,0.0526,0.6573,early,small,none,44.82,68.42,57.33,67.54,,,85,0.84500,0.85,0.65,6.8505,6.8505,5,5,False,,True,thesis_gate_triggered,,,True,0.1612,,,77,,49.00,,unknown,0,,,False,,35.0,,,,
73,MIRM,45.31,45.31,0.055,0.6869,late,mid,none,70.75,31.76,42.58,74.88,,,55.25812631029911623622462983,0.80500,0.95,0.30,6.0187,6.0187,3,3,True,moderate,,,,,False,0.1959,,,77,,71.00,,unknown,1,,,False,,83.0,,,,
74,GH,45.19,45.19,0.0542,0.677,late,large,none,70.15,42.94,41.93,93.53,,,57.47890204391209742954455031,0.87500,0.95,0.65,4.9475,4.9475,3,3,True,weak,,,,,True,0.2891,,,108,,61.00,,unknown,0,,,False,,88.0,,,,
75,FHTX,45.14,43.79,0.0503,0.6283,early,small,none,51.58,59.37,38.16,67.54,,,52.5,0.83000,0.95,0.45,0.5222,0.5222,1,1,False,,,stage_early_not_active,,,False,0.0544,,,28,,61.00,,unknown,0,,,False,,63.0,,,,
76,TEM,44.60,44.60,0.0495,0.6188,late,mid,none,67.76,36.77,59.68,93.53,,,60.59117397948353705705147284,0.87500,0.95,0.65,3.534,3.534,4,4,True,weak,,,,,True,-0.3026,,,108,,50.00,,unknown,0,,,False,,88.0,,,,
77,TRDA,44.53,44.53,0.0487,0.6093,early,small,none,55.79,50.87,38.16,67.54,,,49.5,0.80500,0.85,0.45,0.3917,0.3917,1,1,False,,,stage_early_not_active,,,False,0.4166,,,28,,60.00,,unknown,0,,,False,,64.0,,,,
78,GILD,43.24,43.24,0.0465,0.5812,late,large,none,68.65,38.22,31.95,82.09,,,44.28793110674638809290771647,0.87000,0.95,0.65,3.8199,3.8199,2,2,True,weak,,,,,True,-0.0705,,,77,,57.00,,unknown,2,,,False,,88.0,,,,
79,INVA,43.02,43.02,0.0458,0.5719,late,small,none,51.79,71.64,43.65,64.43,,,,0.80500,0.95,0.30,,,0,0,False,,,below_threshold,,,False,-0.1764,,,77,,63.00,,unknown,0,,,False,,75.0,,,,
80,CABA,42.96,42.96,0.0443,0.5535,early,micro,sev1,75.79,29.13,38.16,95.00,,,66.5,0.83000,0.95,0.45,3.4489,3.4489,3,3,False,,,stage_early_not_active,,,False,0.1207,,,28,,73.00,,unknown,0,,,False,,66.0,,,,
81,APLS,42.80,42.80,0.0771,0.9632,late,mid,none,53.73,65.67,37.01,28.11,,,85,0.83500,0.95,0.45,8.7162,8.7162,6,6,False,,True,thesis_gate_triggered,,,False,-0.2872,,,77,,66.00,,unknown,1,,,False,,86.0,,,,
158,JBIO,29.41,42.65,0.0414,0.5172,early,small,none,46.87,54.89,43.96,85.96,,,68.00,0.71500,0.85,0.30,6.4221,6.4221,10,10,True,weak,,,,,False,0.4461,,,0,,48.00,,unknown,0,,,False,,35.0,,,,
82,SYRE,42.57,42.57,0.0407,0.5082,mid,mid,none,39.02,58.69,53.62,83.62,,,80.25726931785237869870515887,0.87500,0.95,0.65,5.5675,5.5675,6,6,True,weak,,,,,True,0.3086,,,52,,81.00,,unknown,0,,,False,,67.0,,,,
83,HALO,42.33,42.33,0.0421,0.5262,late,mid,none,72.24,28.65,42.30,82.09,,,,0.80000,0.95,0.30,,,0,0,False,,,below_threshold,,,False,-0.1434,,,77,,68.00,,unknown,0,,,False,,88.0,,,,
84,GPCR,42.08,42.08,0.0364,0.4553,mid,mid,none,61.38,37.96,42.95,63.79,,,85,0.80500,0.95,0.30,14.1164,14.1164,9,9,True,strong,,,,,False,2.0283,,,52,,57.00,,unknown,0,,,False,,67.0,,,,
85,NTRA,42.05,42.05,0.0371,0.464,late,large,none,73.43,32.82,50.28,82.09,,,53.86084391824351610281821799,0.83000,0.95,0.45,6.4275,6.4275,5,5,True,moderate,,,,,True,0.0345,,,77,,60.00,,unknown,0,,,False,,88.0,,,,
86,LCTX,41.51,41.51,0.0357,0.4466,early,small,none,69.48,16.05,38.16,88.60,,,,0.83500,0.95,0.45,,,0,0,False,,,stage_early_not_active,,,False,-0.1575,,,28,,66.00,,unknown,0,,,False,,64.0,,,,
87,KNSA,41.27,41.27,0.0343,0.4293,late,mid,none,56.71,42.14,35.53,48.01,,,54.60691313737819428524814761,0.83000,0.95,0.45,3.598,3.598,2,2,False,,,stage_pivotal_not_active,,,False,-0.0470,,,77,,58.00,,unknown,0,,,False,,88.0,,,,
88,TECH,41.06,41.06,0.0337,0.4207,late,mid,none,68.95,25.11,40.39,93.53,,,32.59203097193027459457094380,0.87000,0.95,0.65,0.6528,0.6528,1,1,True,weak,,,,,True,-0.0764,,,77,,55.00,,unknown,0,,,False,,88.0,,,,
89,AMRX,41.06,41.06,0.035,0.4379,late,mid,none,71.94,29.67,43.36,70.15,,,,0.80000,0.95,0.30,,,0,0,False,,,below_threshold,,,False,0.1223,,,77,,41.00,,unknown,0,,,False,,88.0,,,,
90,ONC,41.01,41.01,0.0323,0.4036,late,large,none,57.91,50.74,41.10,82.09,,,47.28793110674638809290771647,0.83000,0.95,0.45,4.2177,4.2177,2,2,True,moderate,,,,,True,-0.1368,,,77,,53.00,,unknown,0,,,False,,86.0,,,,
91,AMPH,40.92,40.92,0.033,0.4121,late,small,none,51.97,60.60,34.98,68.16,,,,0.83500,0.95,0.45,,,0,0,False,,,stage_commercial_not_active,,,False,-0.2005,,,77,,73.00,,unknown,0,,,False,,83.0,,,,
92,EXEL,40.74,40.74,0.0316,0.3951,late,large,none,60.00,48.52,43.65,93.53,,,,0.87000,0.95,0.65,,,0,0,False,,,below_threshold,,,True,-0.1428,,,77,,67.00,,unknown,0,,,False,,83.0,,,,
93,ARQT,40.48,40.48,0.0309,0.3866,late,mid,none,59.25,33.56,42.30,48.01,,,60.59117397948353705705147284,0.80000,0.95,0.30,6.7975,6.7975,4,4,True,moderate,,,,,False,-0.0260,,,108,,65.00,,unknown,0,,,False,,83.0,,,,
94,GLPG,40.47,40.47,0.0296,0.3697,late,mid,none,75.82,17.91,65.28,93.53,,,65.53135047536033246746184055,0.74500,0.95,0.45,5.4373,5.4373,3,3,False,,,stage_pivotal_not_active,,,True,-0.1632,,,201,,53.00,,unknown,0,,,False,,88.0,,,,
95,MLYS,40.41,40.41,0.0518,0.6476,late,mid,none,50.74,67.20,37.57,39.80,,,85,0.83000,0.95,0.45,11.0431,11.0431,7,7,False,,,stage_pivotal_not_active,,,False,0.0849,,,201,,59.00,,unknown,0,,,False,,75.0,,,,
96,DVAX,39.55,38.76,0.0472,0.5905,late,small,none,47.33,75.22,42.30,58.46,,,45.07483208139891722867468824,0.80000,0.95,0.30,2.4683,2.4683,2,2,True,moderate,,,,,False,0.1388,,,77,,75.00,,unknown,0,,,False,,86.0,,,,
97,NAMS,39.52,39.52,0.0558,0.6969,late,mid,none,54.93,46.87,42.30,33.83,,,77.92422164866795787787831586,0.80500,0.95,0.30,10.7592,10.7592,5,5,True,weak,,,,,False,-0.2489,,,201,,63.00,,unknown,0,,,False,,88.0,,,,
