ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
ONC,38,46.34,0.791536,0.8118,46.36,0.87931,1.1715,late,large,none,commercial_biotech,40.15,52.160,63.67675980741644809203297974,13.64,58.80597014925373134328358209,62.22222222222222222222222222,0.9,,,v1.3.0,96f655ee,1,,2,2,buying,0,1,blended_window,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,315.75,1.0,0,1.0,0,0,,,156,0.45,0,True,blended_window,-0.1368,2,,-0.109439,,,-0.023106,-0.086333,morningstar,,,9
GILD,39,46.13,0.788401,0.8009,46.14,0.876176,1.1561,late,large,none,commercial_pharma,44.93,53.168,59.64118762828400802703886436,36.62,70.44776119402985074626865672,39.26992836457857033988721232,0.9,,,v1.3.0,96f655ee,1,,2,2,buying,10,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,104.48,1.0,0,1.0,0,0,,,157,0.45,10,True,specific_days,-0.0705,2,,-0.1367,,45.9,-0.023106,-0.113594,morningstar,,,9
HRTX,40,46.08,0.894984,1.2535,46.08,0.873041,1.1409,late,micro,none,drug_developer,38.44,29.98568711111111111111111111,53.425,90.00,68.95522388059701492537313433,61.23134328358208955223880597,0.8858832493259875747274645411,0.855191,0.144809,v1.3.0,96f655ee,1,,2,2,buying,,0,no_upcoming,missing,adequate,headwind,,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1996.38,1.0,0,1.0,0,0,C,low_opt+no_catalyst_data,84,0.16,,False,no_upcoming,-0.1520,2,,-0.2429,,36.2,-0.023106,-0.219794,morningstar,,,9
AGIO,41,45.54,0.882445,1.1873,45.57,0.869906,1.1259,late,small,none,drug_developer,19.37,50.972,62.53350917803341203080423219,72.39,74.32835820895522388059701493,60.80000000000000000000000000,0.8424130993629149435564993853,0.915301,0.084699,v1.3.0,96f655ee,0,deep_drawdown,3,3,buying,13,1,specific_days,near,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,470.07,1.0,0,1.0,0,0,D,ineligible,,,13,True,specific_days,-0.4229,3,,-0.5089,,50.8,-0.023106,-0.485794,morningstar,,,9
CTNM,42,45.50,0.916928,1.3847,45.50,0.866771,1.1113,mid,small,none,drug_developer,74.82,51.896,85,50.96,77.000,54.00000000000000000000000000,0.7885557629491367242183854410,0.991803,0.008197,v1.3.0,96f655ee,1,,7,7,buying,1,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1709.9,1.0,0,1.0,0,0,C,low_opt,85,0.52,1,True,specific_days,0.3278,7,,0.0,,,-0.023106,0.023106,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3
MNKD,43,45.26,0.753918,0.6869,45.26,0.863636,1.0968,late,small,none,commercial_biotech,48.83,53.684,,13.64,75.82089552238805970149253732,37.27977839335180055401662049,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,46,1,specific_days,near,adequate,neutral,,M,,0.85,<=1000bps,1,670.87,1.0,0,1.0,0,0,,,158,0.38,46,True,specific_days,-0.0162,0,,-0.056465,,,-0.023106,-0.033359,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
NTRA,44,45.05,0.747649,0.6671,45.05,0.857367,1.0686,late,large,none,platform_diagnostics,52.49,52.784,54.43015245319128704048541631,13.64,73.73134328358208955223880597,35.19128181679622008840115837,0.9,,,v1.3.0,96f655ee,1,,5,5,selling,44,1,specific_days,near,adequate,neutral,deep_drawdown_rel_xbi,L,sponsor_confirmed,1.0,<=400bps,0,186.4,1.0,0,1.0,0,0,,,159,0.75,44,True,specific_days,0.0345,5,,-0.3449,,58.1,-0.023106,-0.321794,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
KYMR,45,44.99,0.804075,0.8563,44.99,0.854232,1.0548,mid,mid,none,drug_developer,54.97,46.86297600000000000000000000,62.47866175794586757404576602,10.00,72.75862068965517241379310345,41.25000000000000000000000000,0.8221525168359776281246433056,0.898907,0.101093,v1.3.0,96f655ee,1,,5,5,buying,24,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,374.93,1.0,0,1.0,0,0,C,low_opt,86,0.75,24,True,specific_days,0.0690,5,1.2991,-0.2367,,20.3932,-0.023106,-0.213594,morningstar,,,9
SABS,46,44.99,0.87931,1.1715,45.15,0.860502,1.0826,mid,micro,none,drug_developer,62.52,36.20720400000000000000000000,50.48607196887044316003625799,77.88,71.72413793103448275862068966,63.44827586206896551724137931,0.7620428536532170119956379498,0.887978,0.112022,v1.3.0,96f655ee,1,,1,1,buying,,0,no_upcoming,missing,adequate,tailwind,,M,momentum_tailwind|cost_haircut_>2000bps,0.55,>2000bps,1,2020.0,1.0,0,1.0,0,0,C,low_opt+no_catalyst_data,87,0.25,,False,no_upcoming,0.1647,1,,-0.062921,,,-0.023106,-0.039815,morningstar,,,9
CGEM,47,44.97,0.794671,0.8227,44.97,0.847962,1.0277,early,small,none,drug_developer,70.44,54.026,26.64933920768674183055723504,55.36,69.47368421052631578947368421,49.79323556612498348526885983,0.8261743119266055045871559633,0.860656,0.139344,v1.3.0,96f655ee,1,,4,4,selling,15,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,884.55,1.0,0,1.0,0,0,C,low_opt,88,0.64,15,True,specific_days,0.2689,4,,-0.064347,,,-0.023106,-0.041241,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
