ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
NTLA,"Intellia Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.469697,0.847305,0.4805,-1.2445,-1.7091,,33,specific_days,3,tailwind,high_vol|high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_31_90|nonpos,0.05985007981220658,,drug_developer,140,0.05985007981220658
PHVS,Pharvaris N.V.,,D,ineligible,D,ineligible,,0.476431,0.697605,0.5077,-0.7312,-1.113,,34,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_31_90|nonpos,0.05985007981220658,,drug_developer,142,0.05985007981220658
SGMT,Sagimet Biosciences Inc. - Seri,,D,ineligible,D,ineligible,,0.479798,0.511976,0.535,-0.0011,-0.2654,,64,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_31_90|nonpos,0.05985007981220658,,drug_developer,143,0.05985007981220658
ABVX,Abivax SA,,D,ineligible,D,ineligible,,0.486532,0.38024,0.552,0.4903,0.3052,,3,specific_days,3,neutral,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,145,0.057253918032786885
ARGX,argenx SE,,D,ineligible,D,ineligible,,0.496633,0.194611,0.8409,1.0276,0.9291,,13,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,148,0.057253918032786885
AZN,Astrazeneca PLC,,D,ineligible,,,D,0.5,,0.8692,0.9468,0.8497,0.373077,3,specific_days,3,tailwind,overbought_rsi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,commercial_pharma,149,0.057253918032786885
BIIB,Biogen Inc.,,D,ineligible,,,D,0.503367,,0.8629,0.8372,0.7088,0.557692,11,specific_days,3,neutral,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,commercial_pharma,150,0.057253918032786885
BNTX,BioNTech SE,,D,ineligible,D,ineligible,,0.506734,0.236527,0.8303,0.9174,0.8011,,3,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,151,0.057253918032786885
CAI,"Caris Life Sciences, Inc.",,D,ineligible,,,D,0.510101,,0.8604,1.0395,1.0472,0.257692,3,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,commercial_biotech,152,0.057253918032786885
DNA,"Ginkgo Bioworks Holdings, Inc.",,D,ineligible,,,D,0.516835,,0.8482,0.7769,0.7865,0.934615,3,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,commercial_biotech,154,0.057253918032786885
