ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
IONS,33,46.29,0.85873,1.0746,46.29,0.893651,1.2462,late,large,none,commercial_biotech,48.22,41.25000000000000000000000000,,59.22,59.78947368421052631578947368,68.450,0.8995939886671593988667159399
DSGN,34,46.13,0.903175,1.2999,46.13,0.890476,1.2291,early,small,none,drug_developer,36.86,41.25000000000000000000000000,72.0,66.85,66.87500000,54.00000000000000000000000000,0.7643684323396954750160840661
ESPR,35,46.11,0.9,1.2816,46.11,0.887302,1.2123,late,small,none,commercial_pharma,39.48,41.25000000000000000000000000,55.5,72.75,77.000,66.98876404494382022471910112,0.8257236602260298942763397740
KYMR,36,46.01,0.839683,0.9932,46.01,0.884127,1.1959,mid,mid,none,drug_developer,36.24,41.25000000000000000000000000,71.0,57.22,70.68965517241379310344827586,41.25000000000000000000000000,0.8107446064139941690962099125
PCVX,37,45.91,0.896825,1.2637,45.91,0.880952,1.1798,mid,mid,none,drug_developer,17.83,41.25000000000000000000000000,85,57.22,57.24137931034482758620689655,63.08620689655172413793103448,0.7891408355795148247978436658
CTNM,38,45.86,0.947619,1.6222,45.86,0.877778,1.1639,mid,small,none,drug_developer,27.22,41.25000000000000000000000000,80.0,75.46,76.89655172413793103448275862,52.90322580645161290322580645,0.7740679461725126847562320759
NRIX,39,45.71,0.788889,0.8026,45.71,0.874603,1.1484,early,small,none,drug_developer,30.99,41.25000000000000000000000000,51.0,61.76,73.43750000000000000000000000,34.13631262116110600959085807,0.8178850235344458707744972187
BEAM,40,45.59,0.893651,1.2462,45.59,0.871429,1.1332,early,mid,none,drug_developer,43.47,41.25000000000000000000000000,66.0,59.07,57.50000000000000000000000000,67.81250000000000000000000000,0.8136872679908824487137740150
RYTM,41,45.52,0.779365,0.7701,45.52,0.868254,1.1182,late,mid,none,commercial_biotech,57.09,41.25000000000000000000000000,77.0,67.21,74.94736842105263157894736842,42.09750008549639205225539482,0.9
KNSA,42,45.51,0.773016,0.7488,45.51,0.865079,1.1034,late,mid,none,commercial_pharma,60.08,41.25000000000000000000000000,61.0,67.62,57.89473684210526315789473684,53.68421052631578947368421053,0.8800550882899628252788104089
CGEM,43,45.16,0.804762,0.8588,45.16,0.861905,1.0889,early,small,none,drug_developer,31.29,41.25000000000000000000000000,47.5,73.64,64.06250000000000000000000000,48.73227221712070196918681767,0.8137425454545454545454545455
AMPH,44,45.11,0.769841,0.7383,45.11,0.85873,1.0746,late,small,none,commercial_pharma,44.01,41.25000000000000000000000000,,75.92,62.34736842105263157894736842,56.40449438202247191011235955,0.9
UPB,45,44.84,0.811111,0.882,44.84,0.855556,1.0606,mid,small,none,drug_developer,22.49,41.25000000000000000000000000,71.5,58.80,60.34482758620689655172413793,49.22765637645970632443057002,0.8171494831757202551132614911
ENTA,46,44.81,0.957143,1.7185,44.81,0.852381,1.0467,mid,small,none,drug_developer,44.16,41.25000000000000000000000000,55.5,92.62,77.000,59.48387096774193548387096774,0.7575918141592920353982300885
DVAX,47,44.58,0.801587,0.8473,44.58,0.849206,1.033,late,small,none,commercial_pharma,63.63,41.25000000000000000000000000,52.0,58.93,52.68421052631578947368421053,73.25842696629213483146067416,0.8775088838526912181303116147
CATX,48,44.56,0.969841,1.8785,44.56,0.846032,1.0196,early,small,none,platform_devices,23.32,41.25000000000000000000000000,58.0,78.70,71.56250000000000000000000000,63.27272727272727272727272727,0.7492054971011380717199914108
AGIO,49,44.30,0.865079,1.1034,44.30,0.842857,1.0063,late,small,none,drug_developer,47.55,41.25000000000000000000000000,65.5,65.51,74.31578947368421052631578947,60.68539325842696629213483146,0.8446497277676950998185117967
CHRS,50,44.29,0.915873,1.3778,44.29,0.839683,0.9932,late,micro,none,commercial_biotech,32.12,41.25000000000000000000000000,55.5,92.62,66.42105263157894736842105263,69.42105263157894736842105263,0.8224352151781582600647848218
GH,51,44.22,0.820635,0.9178,44.22,0.836508,0.9802,late,large,none,platform_diagnostics,87.47,41.25000000000000000000000000,66.5,50.58,70.84210526315789473684210527,57.77777777777777777777777778,0.9
ROIV,52,44.16,0.842857,1.0063,44.16,0.833333,0.9674,mid,large,none,drug_developer,50.86,41.25000000000000000000000000,77.5,83.31,54.44827586206896551724137931,68.450,0.8264448931371496079905488132
GLUE,53,44.03,0.884127,1.1959,44.03,0.830159,0.9548,early,small,none,drug_developer,42.79,41.25000000000000000000000000,66.5,63.23,76.25000000000000000000000000,50.90909090909090909090909091,0.7116795615731785944551901999
RARE,54,43.92,0.871429,1.1332,43.92,0.826984,0.9423,late,mid,none,commercial_biotech,45.27,41.25000000000000000000000000,50.0,47.72,64.21052631578947368421052632,65.63157894736842105263157895,0.8942030378486055776892430279
BBOT,55,43.85,0.82381,0.93,43.85,0.82381,0.93,early,small,none,drug_developer,62.78,41.25000000000000000000000000,72.0,50,58.437500000,57.09090909090909090909090909,0.7557772816537467700258397933
SLN,56,43.70,0.798413,0.836,43.70,0.820635,0.9178,mid,micro,none,drug_developer,14.84,41.25000000000000000000000000,49.5,85.65,73.79310344827586206896551724,48.04640639450389747654908179,0.7438697854909992454457259890
LBRX,57,43.48,0.792063,0.8136,43.48,0.81746,0.9057,mid,small,none,drug_developer,50,41.25000000000000000000000000,,26.04,63.44827586206896551724137931,64.41935483870967741935483871,0.7480283115154204570667850011
AVIR,58,43.32,0.750794,0.677,43.32,0.814286,0.8938,late,small,none,commercial_biotech,50.99,41.25000000000000000000000000,49.0,85.37,51.57894736842105263157894737,62.97752808988764044943820225,0.8792942908926144086995922066
