ticker,tier_dev,tier_commercial,tier_any,actionable_rank,size_band,target_weight_pct,tier_reason,tier_any_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,missing_components,decision_engine_version,decision_engine_ruleset_id
RAPP,A,,A,11,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,44,2,neutral,,214,19.45,drug_developer,0.806011,-0.1285,-1.09,-0.0714,,,v1.3.0,e1be5370
NUVL,A,,A,12,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,13,3,headwind,,216,19.04,drug_developer,0.931694,0.266,-1.4974,-1.1685,,,v1.3.0,e1be5370
ARTV,A,,A,13,M,2.78,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,44,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,221,18.50,drug_developer,0.724044,-0.1141,-0.8115,0.6787,,,v1.3.0,e1be5370
KURA,A,,A,14,L,5.62,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,166,3,headwind,deep_drawdown_rel_xbi,225,18.05,drug_developer,0.702186,0.5084,-0.7387,0.8748,,,v1.3.0,e1be5370
CGON,A,,A,15,L,5.62,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,228,17.98,drug_developer,0.871585,0.4785,-1.3284,-0.7134,,,v1.3.0,e1be5370
PHVS,A,,A,16,L,4.63,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,15,2,neutral,,234,17.63,drug_developer,0.70765,0.5083,-0.7597,0.8182,,,v1.3.0,e1be5370
CELC,A,,A,17,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,13,9,tailwind,,237,17.44,drug_developer,0.838798,0.4849,-1.1984,-0.3633,,,v1.3.0,e1be5370
ACLX,A,,A,18,L,6.61,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,105,3,headwind,,239,17.17,drug_developer,0.92623,0.4634,-1.4974,-1.1685,,,v1.3.0,e1be5370
AURA,A,,A,19,M,2.18,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,135,2,headwind,deep_drawdown_rel_xbi,243,17.00,drug_developer,0.800546,0.4893,-1.0833,-0.0533,,,v1.3.0,e1be5370
FDMT,A,,A,20,S,1.39,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,74,9,headwind,deep_drawdown_rel_xbi,247,16.41,drug_developer,0.904372,0.4708,-1.4361,-1.0035,,,v1.3.0,e1be5370
